,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
30,MACCOFFEE 24GR KOFE 3V1 CAFE PHO,"Kofe, kakao va h.k",0.45,2019-09-13,True,20 yanvar
31,XORTICYA 1LT ARAQ ABSOLUTNAYA GOLD S/Q,Aroq,20.0,2019-09-13,True,20 yanvar
32,BAGDAT 40GR BIBER ACI QIRMIZI PAKET,Ziravorlar,1.35,2019-09-13,True,20 yanvar
33,PAREX KELEBEK MOP YEDEK,Maishiy buyumlar,2.1,2019-09-13,True,20 yanvar
34,JITNICA 0.5LT SEDRAYA  ARAQ,Aroq,12.0,2019-09-13,True,20 yanvar
35,DIET.VERESK 105GR VAFLI TAPLENOE MOL.NA FRUKTOZE,Diabet mahsulotlari,0.8,2019-09-13,True,20 yanvar
36,EVDAR 800GR NOXUD,Donli mahsulotlar,3.05,2019-09-13,True,20 yanvar
87,ELVAN 45GR TODAY PANDA KEKS,Shirinliklar,0.4,2019-01-07,True,20 yanvar
88,ALLEYA ISTOCNIKOV 0.5LT ESSENTUKI N4 S/Q,Suvlar,1.1,2019-01-07,True,20 yanvar
89,BEREKETLI RUZI 20GR QARA ISTIOT UYUDULMUS POSET,Ziravorlar,0.9,2019-01-07,True,20 yanvar
273,"ABSERON SERAB 0,5LT NATURAL BALLI BIBER ARAGI",Aroq,8.0,2019-03-01,True,20 yanvar
274,MR.PEPPER 7GR QURU MAYA POSET,Un mahsulotlari,0.35,2019-03-01,True,20 yanvar
275,MOHOBBAT BASMATI 10KG DUYU KISE,Donli mahsulotlar,34.25,2019-03-01,True,20 yanvar
339,"QAX AQUA LIFE 1,5LT QAZSIZ MINERAL SU PL/Q",Suvlar,0.75,2019-07-03,False,20 yanvar
340,ASTARACAY 250GR PURRENGI CAY,Choy,5.45,2019-07-03,False,20 yanvar
341,ABSERON SERAB 0.7LT VISOKIY STATUS ARAQ,Aroq,9.1,2019-07-03,False,20 yanvar
342,BIZIM ASCI 800GR NOXUD,Donli mahsulotlar,3.8,2019-07-03,False,20 yanvar
343,"XENTA ABSENTA 0,50ML VODKA",Aroq,37.63,2019-07-03,False,20 yanvar
344,M.A CENGEL 6-LI C12,Idish-tovoq,2.32,2019-07-03,False,20 yanvar
345,BIZIM AILE 70GR AG GUNEBAXAN TUMU,Quritilgan mevalar to'plami,0.8,2019-07-03,False,20 yanvar
501,CAVENDISH&HARVEY 50GR MANPASI ARMUD D/Q,Shirinliklar,2.1,2019-10-31,False,20 yanvar
502,KIST SILIKON BISINTI UCUN WIN-WIN,Idish-tovoq,1.05,2019-10-31,False,20 yanvar
503,SWEET HOME 10LU 120LT ZIBIL TORBASI,Maishiy buyumlar,3.59,2019-10-31,False,20 yanvar
504,BOMBA 250ML BLUE ENERJI ICKI S/Q,Energetik ichimliklar,1.2,2019-10-31,False,20 yanvar
505,VAFLI JORIK-OBJORIK TRUBOCKI KAKAO/SUD KG,Shirinliklar,5.4,2019-10-31,False,20 yanvar
506,JACOBS 13GR KOFE LATTE 3V1 ASILQAN,"Kofe, kakao va h.k",0.25,2019-10-31,False,20 yanvar
507,BIZIM SUFRE 540GR KETCUP ACILI PL/Q,Souslar,2.35,2019-10-31,False,20 yanvar
568,TBILVINO 750ML ALAZANI SERAB QIRMIZI S/Q,Vinolar,16.4,2019-08-06,True,20 yanvar
569,FIRIN.PAXLAVA KOKOSLU KG,Shirinliklar,9.0,2019-08-06,True,20 yanvar
570,KREKI 45GR KREKER CUBUQ TOMATLI,Shirinliklar,0.28,2019-08-06,True,20 yanvar
1119,DOLLY RULO SETUSTU HAVLULUK Y188,Plastik idishlar,4.45,2019-02-22,False,20 yanvar
1120,NATURA 200ML ALBALI MEYVE SIRESI,Mevali sharbatlar,0.37,2019-02-22,False,20 yanvar
