,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
37,GOSIA BIRDEFELIK BOSQAB 6-LI,Plastik idishlar,1.07,2019-05-20,False,28-May
38,OZ DAD 560GR QARPIZ MUREBBESI,Shirinliklar,3.5,2019-05-20,False,28-May
245,B.YAG SPREDI LYUBIMOYE DADLI NEMET 82.5% KG,Yog'lar,7.6,2019-08-29,True,28-May
246,KONFITREYD 10GR SWEET BOX MAR.ZVERYATA SAFARI,Shirinliklar,4.0,2019-08-29,True,28-May
463,KONFIROM 396GR PECENYE OVSYANKA SOKOLADLI,Shirinliklar,2.6,2019-04-22,False,28-May
464,BINGO SOFT 2LT LOVELY YUMSALDICI,"Yuvish vositalari, tozalagichlar",4.45,2019-04-22,False,28-May
465,PAKMAYA 80GR PASTA SUSU BAKIR BONCUK,Ziravorlar,3.45,2019-04-22,False,28-May
466,REBER 830GR QUTU SOKOLAD,Shirinliklar,110.35,2019-04-22,False,28-May
467,ZOLOTOE ZERNO 180GR KISEL ERIK,"Kofe, kakao va h.k",0.9,2019-04-22,False,28-May
468,KOLBASA H.N.SERVELAT IPLI KG,Kolbasa va sosiskalar,11.15,2019-04-22,False,28-May
469,ASTARA DUYUSU 900GR HASIMI POSET,Donli mahsulotlar,4.2,2019-04-22,False,28-May
470,PEMO LUKS 480GR SODA 5 OKEAN,Idish yuvish vositalari,1.65,2019-04-22,False,28-May
471,ECO 100-LU REZIN ELCEK PUDRALI OLCU L,"Yuvish vositalari, tozalagichlar",10.9,2019-04-22,False,28-May
657,ELIT 250GR GOURTMET 1924 SOKOLAD D/Q,Shirinliklar,12.45,2019-01-13,True,28-May
658,PERFETTO 260GR NAGGETSI XRUSTYASIYE IZ KURINOY QR.,Konservalar,3.85,2019-01-13,True,28-May
659,TRI KOROCKI 40GR SUXARIKI TOMAT-ZELEN,Quritilgan mevalar to'plami,0.22,2019-01-13,True,28-May
660,KITCHEN METBEX FIRCASI SE-291,Idish-tovoq,3.75,2019-01-13,True,28-May
661,"XAN 0,5LT ARAQ XAN BAGI",Aroq,5.55,2019-01-13,True,28-May
662,KONFIROM 220GR MUZ.MALCIK SASHA TORT VAFLI QUTU,Shirinliklar,1.85,2019-01-13,True,28-May
727,KONFET SLASTI FON-BARON MIKS KG,Shirinliklar,8.1,2019-10-27,True,28-May
728,MPRO S.D.180GR KESMIK 14% YAGLI,Tvorog,1.93,2019-10-27,True,28-May
1058,NEPTUN PAXLAVA FINDIQLI KG,Shirinliklar,7.8,2019-04-06,False,28-May
1059,ETI PETIT BEURRE 200GR PECENYE KLASSIK,Shirinliklar,1.3,2019-04-06,False,28-May
1128,PENDIR YAYLA ORDUBAD 55% KG,Pishloqlar,15.8,2019-03-01,False,28-May
1129,POLEN SUNGER 1-LI,"Yuvish vositalari, tozalagichlar",0.3,2019-03-01,False,28-May
1130,SAVALAN 750ML SERAB AG QURU 2014 VERDEJO S/Q,Vinolar,10.49,2019-03-01,False,28-May
1131,KARAMEL ROT FRONT QUSINIE LAPKI KG,Shirinliklar,7.1,2019-03-01,False,28-May
1132,ILGIM 30GR QIRMIZI BIBER PAKET,Ziravorlar,1.15,2019-03-01,False,28-May
1133,AZ-GRANATA 3LT BELLUS AG TURS SERAB S/Q,Vinolar,11.77,2019-03-01,False,28-May
1134,LAV CORAL LARA 22010 + BLOOM BLO120 SU DESTI 7LI,Maishiy buyumlar,9.55,2019-03-01,False,28-May
1135,SPIDER-MAN HAPPY BIRTHDAY 4-LU SAM DESTI,Bayram uchun aksessuarlar,4.46,2019-03-01,False,28-May
1136,SOCINSKIY M.525GR SOSISKI KLASSICESKIYE,Kolbasa va sosiskalar,7.95,2019-03-01,False,28-May
1137,PERSIL 780ML COLOR GEL VERNEL,"Yuvish vositalari, tozalagichlar",4.63,2019-08-14,True,28-May
1138,ZOLOTOE SOLNISKO 5LT QARGIDALI YAGI PL/Q,Yog'lar,16.05,2019-08-14,True,28-May
1139,GALLINA BLANCA 75GR PRIPRAVA AZIATSKIY MIKS,Ziravorlar,0.95,2019-08-14,True,28-May
1140,ATENA 900GR QATIQ HOMOGENIZE,Qatiq,2.16,2019-08-14,True,28-May
1141,MINI MI LUCIA 40DEN KALQOTKA 3,Paypoq,3.75,2019-08-14,True,28-May
1142,BIZIM TARLA 400GR ALBALI MUREBBESI,Shirinliklar,2.9,2019-08-14,True,28-May
1143,PINAR 400GR BEYAZ PENDIR PL/Q,Pishloqlar,9.07,2019-08-14,True,28-May
1144,ROSENBAL SETKA V FORME UTYUQA,Maishiy buyumlar,3.27,2019-08-14,True,28-May
1199,TERMOS 1LT NO8100D,Idish-tovoq,19.8,2019-02-23,True,28-May
1200,MVT.ALMA SEMERINKA YERLI KG,Mevalar,1.9,2019-02-23,True,28-May
1201,ZOLOTOY PETUSOK 300GR NAGGETSI KURINIYE,Konservalar,3.3,2019-02-23,True,28-May
1202,KENT 28GR OLIPS KONFET MENTOL-OKALIPTUS,Shirinliklar,0.5,2019-02-23,True,28-May
1203,BOSTAN 1LT ERIK KOMPOTU,Kompotlar,1.33,2019-02-23,True,28-May
1713,SANTE 50GR GO ON! BATONCIK COCOA+INULIN,Shirinliklar,2.5,2019-10-25,False,28-May
1714,DIET.VERESK 190GR TORT VAFELNIY OREXOVIY QUTU,Diabet mahsulotlari,1.95,2019-10-25,False,28-May
1715,SVALYA 150GR DOGRANMIS PENDIR ROSSIYSKIY 45%,Pishloqlar,2.95,2019-10-25,False,28-May
1716,NEW CITY SABUN QABI Z-914,Maishiy buyumlar,2.97,2019-10-25,False,28-May
1717,GUZGU N6 MIRROR,Maishiy buyumlar,1.95,2019-10-25,False,28-May
1718,QOST 250GR QOVYADINA TUSENAYA VISIY SORT D/Q,Konservalar,2.3,2019-10-25,False,28-May
1770,SPILKA YUCELER 24LU,Maishiy buyumlar,1.95,2019-09-26,True,28-May
1771,MVT.POMIDOR CERI KG,Sabzavotlar,6.9,2019-09-26,True,28-May
1772,KONFET OLIVA BONELLE MARMELAD KG,Shirinliklar,8.8,2019-09-26,True,28-May
1773,FIRIN.KURABIYE CATLAQ KG,Shirinliklar,8.0,2019-09-26,True,28-May
1774,SOCNAYA DOLINA 0.95LT M.SIRESI ALMA ALBALI GILAS,Mevali sharbatlar,1.55,2019-09-26,True,28-May
1775,SOFRAM 150GR QARGIDALI SIRIN D/Q,Donli mahsulotlar,1.42,2019-09-26,True,28-May
1776,PFANNER 2LT ANANAS NEKTARI,Mevali sharbatlar,8.85,2019-09-26,True,28-May
1812,KRESTYANSKOYE PRIVOLYE 1KG B.YAG SPREDI 82.5%,Yog'lar,3.49,2019-05-29,True,28-May
1813,SANITEX 2 LI BULASIQ SUNGERI,"Yuvish vositalari, tozalagichlar",1.45,2019-05-29,True,28-May
1814,DONDURMA SELENA 600GR GELATO SOKOLADLI PL/Q,Muzqaymoq,5.7,2019-05-29,True,28-May
1815,CUDO 270GR ICM.YOQURT KLUBNIKA-ZEMLYANIKA PL/Q,Yogurt,1.35,2019-05-29,True,28-May
1816,FIRIN.KETE NAXCIVAN EDED,Shirinliklar,1.0,2019-05-29,True,28-May
1817,SIGARET VEGAS SLIMS SILVER,Tamaki mahsulotlari,1.7,2019-05-29,True,28-May
1818,CELNI-BROYLER 700GR VETCINA EKSTRA XALAL,Kolbasa va sosiskalar,10.7,2019-05-29,True,28-May
1819,EARLY SPRING 565GR ANANAS DILIMLERI D/Q,Mevali sharbatlar,2.42,2019-05-29,True,28-May
1820,FIRIN.TORT ABSERON 20SM EDED,Shirinliklar,13.5,2019-05-29,True,28-May
1937,XIRDALAN 0.5LT NON FILTERED PIVE S/Q,Pivo,1.85,2019-07-08,True,28-May
1938,DOGADAN 20X2GR FORM GILAS CAYI,Choy,3.5,2019-07-08,True,28-May
1939,DONDURMA ALGIDA 500ML MARAS USULU SADE PL/Q,Muzqaymoq,6.1,2019-07-08,True,28-May
1940,OSMANBEYLI 15GR DARCIN UYUDULMUS POSET,Ziravorlar,0.45,2019-07-08,True,28-May
1941,CER.ALBUXARA SARI KG,Quruq mevalar,8.5,2019-07-08,True,28-May
1942,BONUS KENWOOD CAYNIK,Idish-tovoq,23.0,2019-07-08,True,28-May
1943,TBILVINO 750ML SAPERAVI ROZE SERAB,Vinolar,17.3,2019-07-08,True,28-May
1944,BOLLUQ 700GR KELLE QEND POSET,Shirinliklar,1.45,2019-07-08,True,28-May
1945,BONDUELLE 314GR QARA  ZEYTUN TUMSUZ D/Q,Zaytun,2.65,2019-07-08,True,28-May
2045,NARPA 10LU METBEX SUNGERI (1*),"Yuvish vositalari, tozalagichlar",1.48,2019-01-16,True,28-May
2046,DIET ARKOM 100GR NASLADIS CIKORIY POSET,Diabet mahsulotlari,3.85,2019-01-16,True,28-May
2047,KONFET KONTI DIVNAYA NOC VANIL/SOKOLAD KG,Shirinliklar,5.55,2019-01-16,True,28-May
2048,S.TEKSTIL YATAQ DESTI TEK 160*220,To'qimachilik,17.0,2019-01-16,True,28-May
2081,KONFET ESSEN SADO VISNEVOE KG,Shirinliklar,6.7,2019-01-23,False,28-May
2082,NID 80GR DONDURMA SOKOLADLI CESID POSET,Ziravorlar,0.65,2019-01-23,False,28-May
2083,DOMIK V DEREVNE 480GR SLIVKI 33%,Qaymoq,4.6,2019-01-23,False,28-May
2086,N1 ZAVOD 400GR COVDAR COREYI,Non,0.5,2019-06-13,False,28-May
2087,DONDURMA LAZZMASTER 500GR HOMEDAY PL/Q,Muzqaymoq,5.5,2019-06-13,False,28-May
2163,CELNI-BROYLER 520GR SOSISKI MUSULMANSKIYE XALAL,Kolbasa va sosiskalar,6.05,2019-06-02,True,28-May
2164,KUX.BEZ.QRANIC 60GR LAPSA KURICA I OVOSI,Un mahsulotlari,0.33,2019-06-02,True,28-May
2165,M&M'S 36GR DRAJE KRISPI POSET,Shirinliklar,1.1,2019-06-02,True,28-May
2166,OSMANBEYLI 15GR SARIMSAQ UYUDULMUS POSET,Ziravorlar,0.75,2019-06-02,True,28-May
2167,ETI TUTKU 100GR PECENYE MAYHOS,Shirinliklar,0.75,2019-06-02,True,28-May
2168,EL EMEYI XENGEL,Un mahsulotlari,0.65,2019-06-02,True,28-May
2169,OLIO DI ZEUS 1LT ZEYTUN YAGI PL/Q,Yog'lar,6.95,2019-06-02,True,28-May
2170,DISNEY 20GR KIDS BOX DREAM WORKS TROLLS EQQ,Shirinliklar,2.1,2019-06-02,True,28-May
2193,SEDRAYA ZEMLYA 700GR LOBYA MAS POSET,Donli mahsulotlar,3.15,2019-05-22,False,28-May
2194,KONFET KONFIRELLA CEK I CAN KG,Shirinliklar,6.95,2019-05-22,False,28-May
2434,"Q.S.NAZLI 0,75LT QIRMIZI  KEMTURS SERAB",Vinolar,5.45,2019-08-11,True,28-May
2435,NATURA 200ML PORTAGAL MEYVE SIRESI,Mevali sharbatlar,0.37,2019-08-11,True,28-May
2519,NES 25GR KOKOS TOZU POSET,Ziravorlar,0.45,2019-03-07,True,28-May
2520,KARAMEL BARAKA CANDY KG,Shirinliklar,4.05,2019-03-07,True,28-May
2521,XAMA BIZIM SUD KG,Smetana,4.78,2019-03-07,True,28-May
2522,MAXEEV 500GR KETCUP RUSSKIY POSET,Souslar,1.98,2019-03-07,True,28-May
2542,UTENOK 900ML WC TEMIZLEYICI SUPER SILA VIDIMIY EF.,"Yuvish vositalari, tozalagichlar",5.2,2019-10-26,False,28-May
2543,AQUA VITA 1.5LT QAZSIZ SU PL/Q,Suvlar,0.71,2019-10-26,False,28-May
2544,LUX SARIMCAQ QORUYUCU,Idish-tovoq,0.8,2019-10-26,False,28-May
2545,MERRY TEMIZLIK BEZI MOP 40SM*1N,"Yuvish vositalari, tozalagichlar",4.42,2019-10-26,False,28-May
2546,LASTOCKA 70GR GUNEBAXAN TUMU,Quritilgan mevalar to'plami,0.2,2019-10-26,False,28-May
2547,BULUD AS KICIK,Idish-tovoq,6.75,2019-10-26,False,28-May
2548,ANGRY BIRDS 200ML GILEMEYVE MEYVE SIRESI,Mevali sharbatlar,0.49,2019-10-26,False,28-May
2549,FIRIN.KURABIYE CATLAQ KG,Shirinliklar,8.0,2019-10-26,False,28-May
2550,CAMPINA 100GR NEJNIY YOQURT 1.2% YAQOD.MOROJENOE,Yogurt,0.42,2019-10-26,False,28-May
2634,CASKA HEDIYYE MISKALI,Maishiy buyumlar,4.4,2019-03-14,True,28-May
2635,LOKUM RAC QARISIQ KG,Shirinliklar,4.45,2019-03-14,True,28-May
2636,MAXEEV 190GR ADJIKA OSTRAYA S/Q,Souslar,2.85,2019-03-14,True,28-May
2637,OGAS 250GR PISMANIYE VANILLI QUTU,Shirinliklar,4.95,2019-03-14,True,28-May
2638,BEBETO 20GR JELEBON FUNNY BEARS,Shirinliklar,0.3,2019-03-14,True,28-May
2639,PAMUK 450GR LOKUM ASSORTI BADAMLI QUTU,Shirinliklar,4.65,2019-03-14,True,28-May
2640,SOSISKA BREST NIKOLSKIYE KG,Kolbasa va sosiskalar,18.6,2019-03-14,True,28-May
2706,ABC 1.5LT YUMUSALDICI  AG,"Yuvish vositalari, tozalagichlar",5.45,2019-04-25,False,28-May
2707,BAGI  SHAMPOLISH BALZAM 750 ML QAB SAMPUNU,Idish yuvish vositalari,7.69,2019-04-25,False,28-May
2880,VIOLA 150GR PENDIR DILIM.QAYMAQLI 8LI,Pishloqlar,2.7,2019-10-06,True,28-May
2881,GERMAN WHITE 500GR AG PENDIR T/P,Pishloqlar,3.7,2019-10-06,True,28-May
2882,GP SUPERCELL BATAREYA 2-LI AAA 24PL-2U2,Batareya,0.85,2019-10-06,True,28-May
2883,CER.ANANAS DUYME KG,Quruq mevalar,8.65,2019-10-06,True,28-May
2884,LENOR 910ML PALTAR YUMSAL.MORSKIE MINERAL,"Yuvish vositalari, tozalagichlar",4.5,2019-10-06,True,28-May
2885,CHUPA CHUPS 12GR SOVURMA EKZOTIK-TROPIK,Shirinliklar,0.15,2019-10-06,True,28-May
2886,PENDIR ALMAN TILZITER KG,Pishloqlar,14.9,2019-10-06,True,28-May
2894,TOMER 90GR SOKOLAD ZENCEFIL ILE QUTU,Shirinliklar,2.85,2019-07-22,False,28-May
2895,RISTON 400GR QARA CAY CEYLON PREMIUM QUTU,Choy,12.1,2019-07-22,False,28-May
2896,DOMASNEE 800GR BULQUR POSET,Donli mahsulotlar,2.0,2019-07-22,False,28-May
2897,SIRIN 40GR KEKS MU-U-UCH WITH CARAMEL CREAM,Shirinliklar,0.32,2019-07-22,False,28-May
2898,ETI  29GR WANTED POPS WAFER SOKOLAD,Shirinliklar,0.5,2019-07-22,False,28-May
2899,MISTER TUM 140GR AG GUNEBAXAN TUMU POSET,Quritilgan mevalar to'plami,1.3,2019-07-22,False,28-May
2900,"GP 13AU-U42 ULTRA D 1,5V",Batareya,6.2,2019-07-22,False,28-May
