,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
136,NES 10KG UN,Un,5.75,2019-09-14,True,8 mkr
137,BOSTAN 5KG XIYAR TURSU,Tuzlamalar,11.25,2019-09-14,True,8 mkr
138,AZER SUD 700GR KEND QATIGI 1.5% S/Q,Qatiq,1.57,2019-09-14,True,8 mkr
139,YASHKINO 290GR VAFLI GOLLANDSKIYE S KARAMELNOY,Shirinliklar,1.4,2019-09-14,True,8 mkr
140,MVT.NAR GULOYSE KG,Mevalar,1.55,2019-09-14,True,8 mkr
141,DENLI DUYU UZUN TAMASHAEE BASMATI KG,Donli mahsulotlar,3.5,2019-09-14,True,8 mkr
142,KOLBASA H.N.OXOT/DEREVENSKI KG,Kolbasa va sosiskalar,10.95,2019-09-14,True,8 mkr
207,BIONOVA 100GR CIKORIY RASTV.S SIPOVNIKOM PAKET,Diabet mahsulotlari,4.1,2019-01-04,True,8 mkr
208,GALLINA BLANCA 52GR SUP QRIBNOY S LAPSOY POSET,Ziravorlar,0.8,2019-01-04,True,8 mkr
209,YAPRAK 15GR QARA ISTIOT UYUDULMUS PAKET,Ziravorlar,0.7,2019-01-04,True,8 mkr
210,SOKOLAD BABAYESKIY BELOCKA KG,Shirinliklar,19.6,2019-01-04,True,8 mkr
211,CAN 250GR PISMANIYE KAKAOLU/SADE,Shirinliklar,4.0,2019-01-04,True,8 mkr
418,BARISTI 30GR KOFE FRENCH ROAST,"Kofe, kakao va h.k",3.22,2019-06-16,False,8 mkr
419,VITA 1000 1LT HEYVA KOMPOTU S/Q,Kompotlar,1.39,2019-06-16,False,8 mkr
420,ZELENAYA MARKA 700ML ARAQ TRAD.RESEPTURA S/Q,Aroq,19.55,2019-06-16,False,8 mkr
421,YE DOY QUTABLIQ XEMIR 20LI,Un mahsulotlari,1.45,2019-06-16,False,8 mkr
422,BOSTAN 275GR TOMAT PASTASI,Konservalangan sabzavotlar,1.08,2019-06-16,False,8 mkr
423,IVANOVKA BAGLARI 0.75L MEDRESE SERAB,Vinolar,9.2,2019-06-16,False,8 mkr
424,DONDURMA DELISSIMO 500GR CIYELEKLI PLOMBIR,Muzqaymoq,4.1,2019-06-16,False,8 mkr
425,SAN-SLAVIA 500ML LIMONAD KOLA S/Q,Mevali sharbatlar,2.0,2019-06-16,False,8 mkr
426,PENDIR BMS AG KECI DUZLU KG,Pishloqlar,19.6,2019-06-16,False,8 mkr
527,ZOLOTOE SOLNISHKO 4KG MAYONEZ KLASSIK,Souslar,8.85,2019-10-28,False,8 mkr
528,BISMAK 200GR WAFLIM VAFLI SUDLU KREMLI,Shirinliklar,0.83,2019-10-28,False,8 mkr
529,"FINLANDIA 0,5LT ARAQ S/Q",Vinolar,22.58,2019-10-28,False,8 mkr
530,BASARKECER 750ML SERAB QIRMIZI KEMTURS,Vinolar,5.8,2019-10-28,False,8 mkr
531,NID 50GR EDV.PUL BIBER POSET,Ziravorlar,1.2,2019-10-28,False,8 mkr
532,KONFET NALCIK-SL.QRILYAJ KUNJUTNIY KG,Shirinliklar,12.3,2019-10-28,False,8 mkr
533,PROSTOKVASINO 180GR KERE YAGI 82%,Yog'lar,4.6,2019-10-28,False,8 mkr
540,TEB PLASTIK BOSQAB BOYUK 6-LI DIPLOMAT,Plastik idishlar,2.88,2019-09-27,False,8 mkr
541,SUPER SUN 450GR BITKI-YAG SPREDI 82% KERELI,Yog'lar,2.63,2019-09-27,False,8 mkr
542,CAYNIK KERAMIK RENGLI SETKALI,Idish-tovoq,11.49,2019-09-27,False,8 mkr
543,HALVACILAR 700GR SEKI NABATI KISMISLI,Shirinliklar,2.25,2019-09-27,False,8 mkr
544,RUBLIK KOPEYKIN 1LT DUSES LIMONAD,Mevali sharbatlar,1.8,2019-09-27,False,8 mkr
545,SARAY 88GR  LOVE IT PECENYE LIMONLU QUTU,Shirinliklar,2.35,2019-09-27,False,8 mkr
546,TAN-TAN MIVIMEX 25GR ARAXIS QOVR. DUZLU,Quritilgan mevalar to'plami,0.33,2019-09-27,False,8 mkr
547,MARTINI 0.5LT ROSSO,"Viski, tekila va h.k",20.43,2019-09-27,False,8 mkr
548,SOSISKA BREST NIKOLSKIYE KG,Kolbasa va sosiskalar,18.6,2019-09-27,False,8 mkr
1017,RASPAK 30GR PRIPRAVA DLA MYASA,Ziravorlar,0.78,2019-03-15,False,8 mkr
1018,SANDORA 250ML ALMA SIRESI,Mevali sharbatlar,0.78,2019-03-15,False,8 mkr
1168,KONFET SLAV.ZEFIR FRANCUZSKIY KG,Shirinliklar,6.15,2019-01-15,True,8 mkr
1169,KONFIRELLA 200GR RULET QATILAS.MIS SUD,Shirinliklar,0.95,2019-01-15,True,8 mkr
1170,POLIPAK BULASIQ ELCEYI GLOVES MEDIUM,"Yuvish vositalari, tozalagichlar",2.68,2019-01-15,True,8 mkr
1171,NATURA 1LT PORTAGAL SIRESI S/Q,Mevali sharbatlar,1.75,2019-01-15,True,8 mkr
1172,ABC MATIK 8KG YUYUCU TOZ RENKLILER,Kiyim-kechak uchun,15.55,2019-01-15,True,8 mkr
1173,MAXEEV 500GR KETCUP SASLICNIY POSET,Souslar,1.99,2019-01-15,True,8 mkr
1174,CICEK 6ADET GUCLU OVMA PEDI,"Yuvish vositalari, tozalagichlar",2.92,2019-01-15,True,8 mkr
1175,RAUCH 0.33LT YIPPY NAPITOK KRAS.YAQODA PL/Q,Mevali sharbatlar,1.27,2019-01-15,True,8 mkr
1176,KIRLANGIC RIVIERA 1LT ZEYTUN YAGI PL/Q,Yog'lar,16.35,2019-01-15,True,8 mkr
1273,CER.SAFTALI QURUSU KG,Quruq mevalar,8.65,2019-05-12,True,8 mkr
1274,PINAR 100GR PENDIR LIGHT UCGEN,Pishloqlar,2.4,2019-05-12,True,8 mkr
1275,BAMBOO PLACEMATS HESIR 4-LU,Idish-tovoq,8.45,2019-05-12,True,8 mkr
1276,SOSISKA S.D KOZLEME PACKA KG,Kolbasa va sosiskalar,9.6,2019-05-12,True,8 mkr
1277,QUDVILL 800GR QARABASAQ,Donli mahsulotlar,1.8,2019-05-12,True,8 mkr
1278,NIHALE SILIKON QAZAN ALTLIGI,Plastik idishlar,1.2,2019-05-12,True,8 mkr
1279,NESCAFE 130GR KOFE CLASSIC POSET,"Kofe, kakao va h.k",4.9,2019-05-12,True,8 mkr
1280,PATRON 120GR QARA GUNEBAXAN TUMU,Quritilgan mevalar to'plami,0.85,2019-05-12,True,8 mkr
1281,ANKARA 500GR VIT MAKARON FIYONK,Donli mahsulotlar,1.02,2019-05-12,True,8 mkr
1358,FINAL TEA 225GR SUPER TEA CAY,Choy,4.05,2019-02-15,False,8 mkr
1359,KENT 154GR PUDING CIKOLATALI,Ziravorlar,1.3,2019-02-15,False,8 mkr
1379,SOCINSKIY M.525GR SOSISKI S QOVYADINOY,Kolbasa va sosiskalar,8.75,2019-02-03,False,8 mkr
1380,BAGI  ANTISTATIC SPRAY  200 ML YUMUSALDICI,"Yuvish vositalari, tozalagichlar",4.49,2019-02-03,False,8 mkr
1381,CACHET 400GR SOKOLAD ASSORTI QUTU,Shirinliklar,32.0,2019-02-03,False,8 mkr
1382,KOLBASA VOSTRYAKOVO ZERNISTIY SERVELAT KG,Kolbasa va sosiskalar,44.1,2019-02-03,False,8 mkr
1383,HYLEYS 100GR CAY EARL GREY QUTU,Choy,3.0,2019-02-03,False,8 mkr
1384,MVT.NAR GULOYSE KG,Mevalar,1.55,2019-02-03,False,8 mkr
1385,SUPER FRESH 450GR PATATES KROKET,Konservalar,3.1,2019-02-03,False,8 mkr
1386,HAME 250GR PASHTET IZ INDEYKI PECENI D/Q,Konservalar,2.25,2019-02-03,False,8 mkr
1461,KONFET ROT FRONT KOROVKA VKUS SOKOLAD KG,Shirinliklar,8.25,2019-06-15,True,8 mkr
1462,KOLBASA ROSKO KRAKOVSKAYA ELA NOV KG,Kolbasa va sosiskalar,12.1,2019-06-15,True,8 mkr
1463,CUDO 914ML KOKTEYL SUDLU YAQODNOYE MOROJ.T/P,Kokteyllar,3.6,2019-06-15,True,8 mkr
1464,IRAK.P. SAXLAMA QABI DORDKUNC 1.4LT LC-210,Plastik idishlar,7.7,2019-06-15,True,8 mkr
1465,SIRIN 240GR KEKS MU-U-UCH WITH COCOA CREAM,Shirinliklar,2.95,2019-06-15,True,8 mkr
1648,LAFARELLA 500GR CLASSIC VERMISEL,Un mahsulotlari,1.0,2019-06-26,False,8 mkr
1649,PAP STAR TORT UCUN SAM 24-LU 12730,Bayram uchun aksessuarlar,2.05,2019-06-26,False,8 mkr
