,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
47,PAP STAR HAVA XORTUMLARI METAL ART.19460,Bayram uchun aksessuarlar,3.18,2019-10-03,True,Ayna Sultanova
48,YUMOS 1LT BAHAR TAZELIGI PALTAR UCUN,"Yuvish vositalari, tozalagichlar",3.95,2019-10-03,True,Ayna Sultanova
49,LOKUM ACHACHI PAKET CEVIZLI KG,Shirinliklar,3.9,2019-10-03,True,Ayna Sultanova
101,FINIST 500ML ARAQ SUPREME,Aroq,42.6,2019-01-28,False,Ayna Sultanova
102,MOHOBBAT 800GR BULQUR POSET,Donli mahsulotlar,1.7,2019-01-28,False,Ayna Sultanova
103,LOKUM ACHACHI PAKET CEVIZLI KG,Shirinliklar,3.9,2019-01-28,False,Ayna Sultanova
104,VESTA 150GR KELLE QEND,Shirinliklar,0.5,2019-01-28,False,Ayna Sultanova
105,ULKER ICIM 100GR PUDING SOKOLADLI,Ziravorlar,0.65,2019-01-28,False,Ayna Sultanova
106,VANISH 3*1 SAMPUN LIMONLU XALCA UCUN 450,"Yuvish vositalari, tozalagichlar",5.45,2019-01-28,False,Ayna Sultanova
107,AGUSA 100GR KESMIK ARMUD USAQ 3.9%,Tvorog,1.33,2019-01-28,False,Ayna Sultanova
221,MVT.BIBER RENGLI KG,Sabzavotlar,4.7,2019-03-12,False,Ayna Sultanova
222,VICI 240GR DRAKOSA RIBNIE FIQURKI QUTU,Konservalar,2.7,2019-03-12,False,Ayna Sultanova
304,AZ-GRANATA 0.75LT BELIY PARUS PREMIUM ARAQ,Aroq,8.33,2019-07-12,True,Ayna Sultanova
305,MOLOCNIY FERMER 200GR YAG 82.5%,Yog'lar,1.0,2019-07-12,True,Ayna Sultanova
306,ZOLOTOE SOLNISKO 900ML MAYONEZ LEQKIY 28% PL/Q,Souslar,2.65,2019-07-12,True,Ayna Sultanova
307,ROSHEN 225GR RULET TRUFEL,Shirinliklar,1.85,2019-07-12,True,Ayna Sultanova
308,KONFET KONFIROM DARENKA PRALINE KG,Shirinliklar,5.9,2019-07-12,True,Ayna Sultanova
309,BIZIM SUFRE 300GR SOUS SIRIN CILI PL/Q,Souslar,2.35,2019-07-12,True,Ayna Sultanova
310,PERSIL 450GR COLOR AUTOMAT QUTU,Kiyim-kechak uchun,2.16,2019-07-12,True,Ayna Sultanova
311,DENLI LOBYA OZBEK KG,Donli mahsulotlar,4.05,2019-07-12,True,Ayna Sultanova
312,CER.LEBLEBI IRAN KG,Quruq mevalar,8.65,2019-07-12,True,Ayna Sultanova
446,PRESTIGE 320GR QUTU SOKOLAD GOLD,Shirinliklar,7.3,2019-04-17,False,Ayna Sultanova
447,TOYOTA 0.7LT ARAQ,Aroq,13.05,2019-04-17,False,Ayna Sultanova
448,START 250GR BALLS DUO SEHER YEMEYI QUTU,Shirinliklar,2.2,2019-04-17,False,Ayna Sultanova
449,TADIM 40GR ACI SOSLU QOVRULMUS YER FISTIGI,Quritilgan mevalar to'plami,0.8,2019-04-17,False,Ayna Sultanova
450,AZERBAIJAN TEA 100GR QARA CAY QUTU,Choy,1.75,2019-04-17,False,Ayna Sultanova
451,LAV LAL CAY DESTI 12LI,Idish-tovoq,21.1,2019-04-17,False,Ayna Sultanova
452,"GP 15AU-U4 ULTRA AA 1,5V",Batareya,3.38,2019-04-17,False,Ayna Sultanova
516,MAGIC BASKET MB-002 (S) QULP,Idish-tovoq,9.4,2019-01-04,False,Ayna Sultanova
517,ETI 140GR WANTED NUTS MILK MINI,Shirinliklar,2.95,2019-01-04,False,Ayna Sultanova
741,SECME 450ML UZUM SIRKESI PL/Q,Souslar,0.52,2019-01-30,False,Ayna Sultanova
742,ABSERON SERAB 1LT NERKA ARAQ,Aroq,10.15,2019-01-30,False,Ayna Sultanova
743,LIANTONG CAYDAN 4LT,Idish-tovoq,21.6,2019-01-30,False,Ayna Sultanova
896,RAMENSKIY 360GR MINI-MAFFINI DOMASNIE KEKS POSET,Shirinliklar,2.9,2019-09-26,False,Ayna Sultanova
897,EARLY SPRING 290ML LIMON ETIRLI S/Q,Mevali sharbatlar,1.9,2019-09-26,False,Ayna Sultanova
898,ERDINGER 330ML PIVE LEMON ALKOQOLSUZ S/Q,Pivo,2.35,2019-09-26,False,Ayna Sultanova
899,HAZER BABA 350GR KARISIK CEZERYE,Shirinliklar,8.65,2019-09-26,False,Ayna Sultanova
900,MERIT BRAND 0.75LT SABRAN MERLOT QIR.TURS SERAB,Vinolar,7.7,2019-09-26,False,Ayna Sultanova
901,"SAH PREMIUM 0,75LT VIOGNIER 2015 AG SERAB",Vinolar,14.1,2019-09-26,False,Ayna Sultanova
902,ETI 50GR CRAX KREKER ACI BAHARATLI,Shirinliklar,0.55,2019-09-26,False,Ayna Sultanova
909,FIRIN.BULKA FRANSIZ KG,Shirinliklar,6.0,2019-01-05,False,Ayna Sultanova
910,PLUSSSZ ZIZZZ 8GR SOVURMA KONFET,Shirinliklar,0.4,2019-01-05,False,Ayna Sultanova
