,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
399,CICEK 6ADET GUCLU OVMA PEDI,"Yuvish vositalari, tozalagichlar",2.92,2019-03-19,True,Badamdar
400,BAXCASARAY 0.75LT CABERNET MERLOT CAXIR,Vinolar,3.05,2019-03-19,True,Badamdar
401,RUSSKIY SOK.100GR SOKOLAD ELITNIY QORKIY PLITKA,Shirinliklar,1.85,2019-03-19,True,Badamdar
402,KARAMEL KRAS.OKT.ALENKA KG,Shirinliklar,5.25,2019-03-19,True,Badamdar
549,MASTER DAK 10GR PEREC CERNIY MOLOTIY POSET,Ziravorlar,0.2,2019-09-29,False,Badamdar
550,CER.IYDE KG,Quruq mevalar,6.6,2019-09-29,False,Badamdar
551,JAN 40ED.BIRDEFELIK KOKTEYL CUBUGU,Idish-tovoq,0.92,2019-09-29,False,Badamdar
552,FLORA SABUN-SUNGER QABI F338,"Yuvish vositalari, tozalagichlar",5.45,2019-09-29,False,Badamdar
553,SPRITE 300ML PL.Q,Gazli ichimliklar,0.39,2019-09-29,False,Badamdar
554,BAHAR 1LT M.SIRESI ALBALI S/Q,Mevali sharbatlar,1.58,2019-09-29,False,Badamdar
555,GENIUS NICER DICER SALAT DOGRAYAN FIQURLU,Maishiy buyumlar,13.5,2019-09-29,False,Badamdar
566,3 JELANIYA 190GR MAYONEZ PROVANSAL 67%,Souslar,0.88,2019-05-23,False,Badamdar
567,PENDIR MILKLAND GAUDA KG,Pishloqlar,10.6,2019-05-23,False,Badamdar
578,SLADENA 300GR ZABAVA ZIQZAQI KREKERI SOLENIE POSET,Shirinliklar,0.92,2019-04-23,True,Badamdar
579,PEYMAN 70GR REGULAR MIX KLASIK KARISIM CEREZ,Quritilgan mevalar to'plami,2.25,2019-04-23,True,Badamdar
580,ERNET 750ML KIREC&KIR SOKUCU,"Yuvish vositalari, tozalagichlar",3.35,2019-04-23,True,Badamdar
581,VILO 60ML AYAQQABI KREMI+QUBKA QARA,Poyafzal aksessuarlari,1.44,2019-04-23,True,Badamdar
869,SOKOLAD KG,Shirinliklar,4.35,2019-10-18,True,Badamdar
870,ROSHEN 300GR BISKVIT SOKOLADLI,Shirinliklar,3.0,2019-10-18,True,Badamdar
871,COREK BAKIXANOV 700GR ZAVOD,Non,0.5,2019-10-18,True,Badamdar
872,SOSISKA NAXCIVAN DADI KG,Kolbasa va sosiskalar,8.05,2019-10-18,True,Badamdar
1021,NARSH 250ML NARSERAB,Souslar,2.44,2019-06-19,False,Badamdar
1022,SEDRAYA ZEMLYA 1KG UN,Un mahsulotlari,1.05,2019-06-19,False,Badamdar
1023,GOLD WAX 250ML MEBEL TEM. WHITE FLOWERS,"Yuvish vositalari, tozalagichlar",2.45,2019-06-19,False,Badamdar
1024,ORIMI 200GR SHAH GOLD QARA CAY EARL GREY QUTU,Choy,3.8,2019-06-19,False,Badamdar
1025,BONDUELLE 720ML XIYAR MARINADLI,Tuzlamalar,3.55,2019-06-19,False,Badamdar
1595,"QIZIL QUYU 1,5LT LIMONAD TERXUN PL/Q",Mevali sharbatlar,1.4,2019-02-21,False,Badamdar
1596,KONFET SLADUNICA VITALINA BATONCIK MINI KG,Shirinliklar,6.4,2019-02-21,False,Badamdar
1597,SOSISKA BOL ET SUDLU KG,Kolbasa va sosiskalar,9.1,2019-02-21,False,Badamdar
1652,MAXEEV PREM.250GR MAYONEZ ZEYTUNLU POSET,Souslar,1.1,2019-10-25,False,Badamdar
1653,KONFELLA 300GR KOKOSLU PECENYE,Shirinliklar,1.75,2019-10-25,False,Badamdar
1654,"Q.S. STARIY DVORIK 0,75LT KRASNOE SERAB",Vinolar,3.8,2019-10-25,False,Badamdar
1655,NATURA 200ML ALBALI MEYVE SIRESI,Mevali sharbatlar,0.37,2019-10-25,False,Badamdar
1656,ENERGIZER MAXIMUM AA 4-LU 7492,Batareya,6.69,2019-10-25,False,Badamdar
1745,MAGIC BASKET MB-005 (S) ROMASKA BOLME,Idish-tovoq,13.75,2019-01-12,False,Badamdar
1746,DIET ARKOM 200GR OTRUBI OVSYANIE STOP-APPETIT,Diabet mahsulotlari,4.65,2019-01-12,False,Badamdar
1829,HALVA SUNSWEET UZUM/ARAXIS KG,Shirinliklar,2.2,2019-06-12,True,Badamdar
1830,AQUA VITA 1LT GULUSTAN PORTAGAL,Mevali sharbatlar,0.84,2019-06-12,True,Badamdar
1831,MANNER 400GR VAFLI SOKOLAD-KARAMEL POSET,Shirinliklar,8.7,2019-06-12,True,Badamdar
1889,SLADOK 200GR VAFLI CIYELEKLI,Shirinliklar,0.86,2019-01-24,False,Badamdar
1890,CASPI POWER TROYNIK 16A CP 310M,Maishiy buyumlar,9.49,2019-01-24,False,Badamdar
1891,AZER SUD 1KG KEND QATIGI 3.2% S/Q,Qatiq,2.34,2019-01-24,False,Badamdar
1892,MIRINDA 2LT ALMA,Gazli ichimliklar,1.45,2019-01-24,False,Badamdar
1893,NATURA 1LT ERIK SIRESI,Mevali sharbatlar,1.55,2019-01-24,False,Badamdar
1894,LAV VIRA VIR251 CEREZLIKI 6LI,Idish-tovoq,7.14,2019-01-24,False,Badamdar
1895,ILGIM 50GR EDV.DARCIN,Ziravorlar,1.15,2019-01-24,False,Badamdar
1896,BOL DAD 750GR ERISTE QOVRULMUS POSET,Donli mahsulotlar,1.4,2019-09-18,True,Badamdar
1897,FIRIN.BULKA FRANSIZ KG,Shirinliklar,6.0,2019-09-18,True,Badamdar
1898,VAFLI SHIRIN ASSORTI KG,Shirinliklar,3.7,2019-09-18,True,Badamdar
1899,DELSTER 300ML PIVE ALKOQOLSUZ BLAK D/Q,Pivo,1.15,2019-09-18,True,Badamdar
1900,SHOKKI MOKKI 350GR SOKOLAD YAGI + 1ED ENDIRIMLI,Shirinliklar,5.99,2019-09-18,True,Badamdar
1901,JAMESON 1LT WHISKY,"Viski, tekila va h.k",56.98,2019-09-18,True,Badamdar
1926,SWEET HOME QASIQ PLASTIK 12LI,Plastik idishlar,1.02,2019-01-13,False,Badamdar
1927,CARLSBERG SET AND RILEYS 0.44LT LIMONLU PIVE S/Q,Pivo,3.4,2019-01-13,False,Badamdar
1928,CASKA HEDIYYE MISKALI,Maishiy buyumlar,4.4,2019-01-13,False,Badamdar
1929,KUX.BEZ.QRANIC 90GR BIGLANC PO-UZBEKS,Un mahsulotlari,1.05,2019-01-13,False,Badamdar
1930,FRES BUM 0.5LT LIMONAD DUSES,Mevali sharbatlar,1.55,2019-01-13,False,Badamdar
1953,GUZGU BENESRFIT BOYUK QUTUDA,Maishiy buyumlar,7.95,2019-07-06,False,Badamdar
1954,TESS 300GR QARA CAY SUNRISE CEYLON QUTU,Choy,5.7,2019-07-06,False,Badamdar
1955,MOLOCNIY FERMER 500GR YAG 82.5%,Yog'lar,2.5,2019-07-06,False,Badamdar
1956,FINAL 500GR KELLE QEND PAKET,Shirinliklar,0.95,2019-07-06,False,Badamdar
1957,QADIN AYAQQABISI CESID,To'qimachilik,6.85,2019-07-06,False,Badamdar
1958,BEREKETLI RUZI 20GR TORT BEZEYI ZER POSET,Ziravorlar,0.85,2019-07-06,False,Badamdar
1959,ETRI-SAH 20GR DARCIN POSET,Ziravorlar,0.55,2019-07-06,False,Badamdar
2110,GONDOL VITAMIN KAYDIRMAZ KESIM PANOSU(PORTAKAL MOD,Idish-tovoq,6.42,2019-03-21,True,Badamdar
2112,YORK QAB SUNGERI RADUQA ART NR 011060,"Yuvish vositalari, tozalagichlar",1.29,2019-03-21,True,Badamdar
2113,KOMILI RIVIERA 1LT ZEYTUN YAGI,Yog'lar,15.7,2019-03-21,True,Badamdar
2114,BONDUELLE 400GR GUL KELEM PAKET,Konservalar,2.6,2019-03-21,True,Badamdar
2115,SAVILLE 500GR VERMISEL,Un mahsulotlari,0.95,2019-03-21,True,Badamdar
2116,CAR 0.5LT PREMIUM 40% ARAQ,Aroq,5.8,2019-03-21,True,Badamdar
2117,PINAR 420GR KETCUP ADI PL/Q,Souslar,2.6,2019-03-21,True,Badamdar
2128,ROLLTON 400GR LAPSA YAICNAYA,Un mahsulotlari,1.84,2019-04-02,False,Badamdar
2129,VAFLI KOLOM.OREXOVIE ORIGINALNIE KG,Shirinliklar,5.95,2019-04-02,False,Badamdar
