,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
126,JIQULI 2LT PIVE PL/Q,Pivo,5.35,2019-03-14,False,C. Məmmədquluzadə
127,BINGO SOFT 2LT LOVELY YUMSALDICI,"Yuvish vositalari, tozalagichlar",4.45,2019-03-14,False,C. Məmmədquluzadə
128,BEBETO 35GR JELEBON DRINK COLA,Shirinliklar,0.5,2019-03-14,False,C. Məmmədquluzadə
129,BERRAK 1600GR QARISIQ TURSU,Tuzlamalar,5.45,2019-03-14,False,C. Məmmədquluzadə
518,ARKOM DIABET 44GR KARAMEL DUSES,Diabet mahsulotlari,1.3,2019-08-07,False,C. Məmmədquluzadə
519,ABC 3L YUMSALDICI MANOLYA HAYALI,"Yuvish vositalari, tozalagichlar",6.95,2019-08-07,False,C. Məmmədquluzadə
520,KONFET LUKAS SUN GRIZZY KG,Shirinliklar,5.5,2019-08-07,False,C. Məmmədquluzadə
521,BIEN YUMURTA FIRCASI KU-168,Idish-tovoq,1.6,2019-08-07,False,C. Məmmədquluzadə
522,LEZZET 900GR LOKUM CEREZLI QUTU,Shirinliklar,6.4,2019-08-07,False,C. Məmmədquluzadə
523,CESME 0.5LT QAZSIZ SU,Suvlar,0.85,2019-08-07,False,C. Məmmədquluzadə
524,BABAYEVSKIY 100GR SOKOLAD ORIQINAL PLITKA,Shirinliklar,2.35,2019-08-07,False,C. Məmmədquluzadə
525,LEZZET 450GR LOKUM CEREZLI QUTU,Shirinliklar,3.66,2019-08-07,False,C. Məmmədquluzadə
526,FAIRY 675ML QAB YUYUCU MAYE LIMON ETIRLI  (1*20),Idish yuvish vositalari,2.9,2019-08-07,False,C. Məmmədquluzadə
605,SIRAB 0.33LT USAQ SUYU PL/Q,Suvlar,0.37,2019-05-19,True,C. Məmmədquluzadə
606,VITA 1000 1LT ZOGAL KOMPOTU S/Q,Kompotlar,1.39,2019-05-19,True,C. Məmmədquluzadə
607,AGUSA 100GR KESMIK ARMUD USAQ 3.9%,Tvorog,1.33,2019-05-19,True,C. Məmmədquluzadə
608,TOYBOX 20GR NUTI RULO GOFRET,Shirinliklar,0.35,2019-05-19,True,C. Məmmədquluzadə
609,SANFOR 750 ML  WC GEL FRANCUZSKAYA LAVANDA,"Yuvish vositalari, tozalagichlar",2.57,2019-05-19,True,C. Məmmədquluzadə
610,SOKOLAD BOLLUQ COCO KG,Shirinliklar,5.45,2019-05-19,True,C. Məmmədquluzadə
