,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
133,ANNA ZARADNA 1AD ZAPASKA YER SILEN,"Yuvish vositalari, tozalagichlar",4.8,2019-08-14,False,Hipermarket
134,SOKOLAD KG,Shirinliklar,4.35,2019-08-14,False,Hipermarket
135,YORK QUBKA  KUXONNAYA 3 ART NR 031010,"Yuvish vositalari, tozalagichlar",1.02,2019-08-14,False,Hipermarket
331,POLTINO 400GR ALBALI TUMSUZ DONDURULMUS POSET,Mevalar,5.3,2019-09-12,False,Hipermarket
332,SOKOLAD SNICKERS ASSORTI KG,Shirinliklar,14.9,2019-09-12,False,Hipermarket
333,LAV KLASIK 20020 CAY TABAGI 6LI,Maishiy buyumlar,4.3,2019-09-12,False,Hipermarket
334,LUKOMORYE 150GR PENDIR QAYMAQLI,Pishloqlar,2.5,2019-09-12,False,Hipermarket
335,KOLBASA OVQAT SERVELAT 4 IPLI KG,Kolbasa va sosiskalar,10.75,2019-09-12,False,Hipermarket
336,COLIBRI 40GR VAFLI CIYELEKLI,Shirinliklar,0.25,2019-09-12,False,Hipermarket
337,MARMELAD ELVAN FRU JELLY KG,Shirinliklar,2.2,2019-09-12,False,Hipermarket
338,PINAR 800GR PENDIR BEYAZ PL/Q,Pishloqlar,17.02,2019-09-12,False,Hipermarket
409,ADONIS 60408 KISI CORABI,Paypoq,3.5,2019-02-06,True,Hipermarket
410,VARTA AA MAX TECH BATERIYA 4LU,Batareya,7.25,2019-02-06,True,Hipermarket
411,B.YAG SPREDI ZIMOVSKIY 82.5% KG,Yog'lar,4.75,2019-02-06,True,Hipermarket
412,CAR 400GR XLOPYA 7 ZLAKOV POSET,Shirinliklar,1.3,2019-02-06,True,Hipermarket
668,RAMENSKIY KON.150GR RULET QATIL.SUD,Shirinliklar,0.87,2019-01-26,True,Hipermarket
669,NES 400GR KESMIK CIYELEK,Tvorog,1.95,2019-01-26,True,Hipermarket
670,OSMANBEYLI 15GR TORT BEZEYI POSET,Ziravorlar,0.95,2019-01-26,True,Hipermarket
671,OSMANBEYLI 15GR XARDAL POSET,Ziravorlar,0.6,2019-01-26,True,Hipermarket
672,SIGARET WINSTON XSTYLE SUMMER MIX,Tamaki mahsulotlari,2.8,2019-01-26,True,Hipermarket
673,ASTARA DUYUSU 900GR DUYU YUMRU POSET,Donli mahsulotlar,2.2,2019-01-26,True,Hipermarket
674,GULAN NENE TENDIRI NAXCIVAN LAVASI,Non,0.55,2019-01-26,True,Hipermarket
675,ZEYTUN LA EXPLANADA YASIL TUMLU KG,Zaytun,8.35,2019-01-26,True,Hipermarket
676,SMART YER BEZI 1ED.50*60,"Yuvish vositalari, tozalagichlar",2.05,2019-01-26,True,Hipermarket
707,EON 500ML CITRUS PUNCH D/Q,Energetik ichimliklar,2.05,2019-05-06,True,Hipermarket
708,CHOCO TIME 75GR VAFLI BANANLI,Shirinliklar,0.93,2019-05-06,True,Hipermarket
709,BETA TEA 100GR QARA CAY EDVIYATLI MEYVE-BITKI QUTU,Choy,1.8,2019-05-06,True,Hipermarket
710,SLADOK 25GR VAFLI FINDIQ-KAKAO,Shirinliklar,0.19,2019-05-06,True,Hipermarket
711,DONDURMA MILLENNIUM 65GR NASTOYASIY PLOMBIR 15%,Muzqaymoq,0.7,2019-05-06,True,Hipermarket
712,LOKUM RAC QARISIQ KG,Shirinliklar,4.45,2019-05-06,True,Hipermarket
780,VITA 1000 1LT FEYXOA KOMPOTU S/Q,Kompotlar,1.39,2019-04-28,False,Hipermarket
781,BAGI PIATNOVIVOD OXY SPRAY 500 ML LEKE CIXARAN,"Yuvish vositalari, tozalagichlar",8.98,2019-04-28,False,Hipermarket
845,TERMOS FU-461,Maishiy buyumlar,8.78,2019-06-11,False,Hipermarket
846,CINQILLI 10LT QAZSIZ SU PL/Q,Suvlar,3.55,2019-06-11,False,Hipermarket
847,IRAK.P.PADNOS ORKIDE BOYUK MOBLEN TP-165,Plastik idishlar,8.1,2019-06-11,False,Hipermarket
848,CAMELION 6F22 9V BATAREYA,Batareya,1.8,2019-06-11,False,Hipermarket
849,FLOREX 20-LI ZIBIL TORBASI ORTA 55*60SM,Maishiy buyumlar,0.95,2019-06-11,False,Hipermarket
850,LYUBITELSKAYA 1LT ORIGINAL QATRONOMICESKAYA ARAQ,Aroq,10.6,2019-06-11,False,Hipermarket
851,KAI DA GLASS BAKAL 6PCS,Maishiy buyumlar,15.85,2019-06-11,False,Hipermarket
852,ZS SUSE QAB MIKRODALGALI SOBA UCUN 15013,Idish-tovoq,11.5,2019-06-11,False,Hipermarket
853,MEIWA 10SM STOLUSTU ORTUK SEFFAF QISA,To'qimachilik,0.16,2019-06-11,False,Hipermarket
1034,QUARTZ SAAT BUDILNIK UREK,Maishiy buyumlar,4.2,2019-04-13,True,Hipermarket
1035,MELISSA 750ML ZEYTUN YAGI RIVIERA POYRAZ S/Q,Yog'lar,12.45,2019-04-13,True,Hipermarket
1036,ORBIT 20.4GR SAQQIZ XXL NEJNAYA MYATA,Saqichlar,0.7,2019-04-13,True,Hipermarket
