,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
8,LUCK SIAM 565GR ANANAS DILIMLERI SIROPDA D/Q,Mevali sharbatlar,3.05,2019-04-29,True,Həzi Aslanov-1
9,"SOKOLAD ULDUZ FAVO SOKOLAD,PORTAGAL KG",Shirinliklar,11.8,2019-04-29,True,Həzi Aslanov-1
10,MARANDI 750ML YANARDAG QIRMIZI KEMSIRIN SERAB S/Q,Vinolar,5.1,2019-04-29,True,Həzi Aslanov-1
197,QINYETOGULLARI 140GR QIZIL PETEK BAL S/Q,Shirinliklar,4.0,2019-06-08,False,Həzi Aslanov-1
198,CASKA DEST 6-LI,Idish-tovoq,8.1,2019-06-08,False,Həzi Aslanov-1
199,BEHRE VITEKS 150GR RULET CIYELEKLI,Shirinliklar,0.69,2019-06-08,False,Həzi Aslanov-1
247,VOLOJKA 500GR OVSYANIE XLOPYA PAKET,Shirinliklar,1.15,2019-10-07,False,Həzi Aslanov-1
248,CAVENDISH&HARVEY 200GR MANPASI MIXED FRUIT D/Q,Shirinliklar,3.55,2019-10-07,False,Həzi Aslanov-1
249,DAMLA 348ML SU,Suvlar,0.28,2019-10-07,False,Həzi Aslanov-1
250,KOLBASA CERKIZ ONEJSKAYA S/K KG,Kolbasa va sosiskalar,27.25,2019-10-07,False,Həzi Aslanov-1
290,LOKUM CANPA PUDRALI XIRDA KG,Shirinliklar,3.8,2019-04-16,False,Həzi Aslanov-1
291,ABSERON SERAB 0.5LT BLACK JACK VISKI,"Viski, tekila va h.k",8.5,2019-04-16,False,Həzi Aslanov-1
292,"ULUDAG 0,33 LT ERIKLI DOGAL KAYNAK SUYU",Suvlar,0.65,2019-04-16,False,Həzi Aslanov-1
293,SOSISKA ROSKO DURMEK HALAL KG,Kolbasa va sosiskalar,11.0,2019-04-16,False,Həzi Aslanov-1
294,CINQILLI 0.5LT QAZSIZ SU PL/Q,Suvlar,0.35,2019-04-16,False,Həzi Aslanov-1
381,OZIBOX STARS SURPRIZ YUMURTA XXL,Shirinliklar,9.0,2019-09-14,False,Həzi Aslanov-1
382,PRONTO 250ML SPREY BUTUN SETHLER UCUN LIMON,"Yuvish vositalari, tozalagichlar",7.29,2019-09-14,False,Həzi Aslanov-1
383,SELENA  3-ED*50 QUBKA,"Yuvish vositalari, tozalagichlar",0.75,2019-09-14,False,Həzi Aslanov-1
427,PENDIR YAYLA ORDUBAD 55% KG,Pishloqlar,15.8,2019-01-09,False,Həzi Aslanov-1
428,MILLA 115GR BIO YOQURT SAFTALI,Yogurt,0.48,2019-01-09,False,Həzi Aslanov-1
429,EHRMANN 185GR XAMA 20% SMETANOVNA PL/Q,Smetana,1.95,2019-01-09,False,Həzi Aslanov-1
430,WELLINGTON 1KG KERE YAGI 82%,Yog'lar,16.0,2019-01-09,False,Həzi Aslanov-1
431,BUD 470ML PIVE 5% S/Q,Pivo,4.0,2019-01-09,False,Həzi Aslanov-1
432,MILAGRO 750ML TEKILA ANEJO,"Viski, tekila va h.k",69.88,2019-01-09,False,Həzi Aslanov-1
433,ATENA 1KG KEND QATIGI 1.5%,Qatiq,2.15,2019-01-09,False,Həzi Aslanov-1
434,NES 0.5LT QAZSIZ SU PL/Q,Suvlar,0.25,2019-01-09,False,Həzi Aslanov-1
435,SARIKIZ 200ML MINERAL SU CIYELEK S/Q,Mevali sharbatlar,0.85,2019-01-09,False,Həzi Aslanov-1
956,ZOLOTOE SOLNISKO 400ML MAYONEZ PROVANSAL 67% POSET,Souslar,1.48,2019-06-08,False,Həzi Aslanov-1
957,NESTLE 250GR NESQUIK SEHER YEMEYI DUO SUD-SOK.,Shirinliklar,2.35,2019-06-08,False,Həzi Aslanov-1
1366,BTF JAKET BOZ.TUND GOY 2728.2680,To'qimachilik,9.9,2019-09-08,False,Həzi Aslanov-1
1367,FLORA NETSIL SUSE SILEN,Maishiy buyumlar,2.92,2019-09-08,False,Həzi Aslanov-1
1368,SAVALAN 750ML SERAB AG 2010 RIESLING,Vinolar,11.99,2019-09-08,False,Həzi Aslanov-1
1369,HOLGAARDEN 0.33LT PIVE FILTREOLUNMAMIS S/Q,Pivo,3.35,2019-09-08,False,Həzi Aslanov-1
1370,TARAS 0.5LT KVAS CERNIY D/Q,Mevali sharbatlar,1.35,2019-09-08,False,Həzi Aslanov-1
1371,SUPER FRESH 450GR TAZE FASULYE DONDURULMUS,Konservalar,3.25,2019-09-08,False,Həzi Aslanov-1
1422,AZOVSKAYA 280GR KOZINAK ASSORTI,Quritilgan mevalar to'plami,1.9,2019-05-28,False,Həzi Aslanov-1
1423,BRITA MAXTRA SU FILTR 3+1AD HEDIYYE,Maishiy buyumlar,39.8,2019-05-28,False,Həzi Aslanov-1
1424,KONFET SLADUNICA JENA SAMURAYA KG,Shirinliklar,6.85,2019-05-28,False,Həzi Aslanov-1
1425,HAITAI POP 238ML MULTIVITAMIN MEYVE SIRESI D/Q,Mevali sharbatlar,1.65,2019-05-28,False,Həzi Aslanov-1
1426,KENT 80GR JELEBON AYICIK,Shirinliklar,1.2,2019-05-28,False,Həzi Aslanov-1
1427,GLEN GRANT 700ML VISKI 10IL S/Q,"Viski, tekila va h.k",80.63,2019-05-28,False,Həzi Aslanov-1
1428,PRIPRAVIC 10GR QVOZDIKA CELAYA POSET,Ziravorlar,1.15,2019-05-28,False,Həzi Aslanov-1
1429,STAR LIGHT FROSTED 60W E-14 LAMPA,Maishiy buyumlar,0.85,2019-05-28,False,Həzi Aslanov-1
1551,FINAL CLASSIC 100GR SELECTED QUALITY,Choy,2.3,2019-03-24,True,Həzi Aslanov-1
1552,KERAMIKA QAYIQ PAPATYA-MELISA-AKASYA,Idish-tovoq,3.6,2019-03-24,True,Həzi Aslanov-1
1553,VDOXNOVENIE 100GR SOKOLAD KLASSICESKIY PLITKA,Shirinliklar,2.7,2019-03-24,True,Həzi Aslanov-1
1554,IVANOVKA 750ML AG SUFRE SERABI,Vinolar,4.2,2019-03-24,True,Həzi Aslanov-1
1555,NOVIY SEZON 400GR QOROSEK D/Q,Konservalangan sabzavotlar,1.57,2019-03-24,True,Həzi Aslanov-1
1556,SHOKKI MOKKI 425GR SOKOLAD-FUNDIKLI KREM PL/Q,Shirinliklar,4.35,2019-03-24,True,Həzi Aslanov-1
1557,AZ-GRANATA 0.5LT MILLENIUM ARAQ,Aroq,8.3,2019-03-24,True,Həzi Aslanov-1
1558,ETI 40GR HOSBES VAFLI KOKOSLU,Shirinliklar,0.4,2019-03-24,True,Həzi Aslanov-1
1747,DRAJE TAHA BADAM AG RENGLI KG,Shirinliklar,26.1,2019-09-04,False,Həzi Aslanov-1
1748,SVALYA 200GR XAMA 22% PL/Q,Smetana,2.05,2019-09-04,False,Həzi Aslanov-1
1749,FUWEI FRESH 24AD AGIZ TERAVET SUPER NANELI,Saqichlar,1.9,2019-09-04,False,Həzi Aslanov-1
1750,CER.BANAN CIPSI KG,Quruq mevalar,10.2,2019-09-04,False,Həzi Aslanov-1
1751,HARIBO 70GR JELEBON FIZ MIX POSET,Shirinliklar,1.15,2019-09-04,False,Həzi Aslanov-1
1752,DOMASNYAYA KUXNYA 64GR KARANDASI QELEVIE CVETNIE,Maishiy buyumlar,2.5,2019-09-04,False,Həzi Aslanov-1
1832,NES 500GR PECENYE GUNES,Shirinliklar,2.15,2019-05-31,False,Həzi Aslanov-1
1833,BAHLSEN 100GR DELOBA PECENYE QIR.QARAGAT QUTU,Shirinliklar,4.05,2019-05-31,False,Həzi Aslanov-1
1834,DONDURMA LEDO 1650ML QUATTRO MEYVELE-VANILLI PL/Q,Muzqaymoq,13.8,2019-05-31,False,Həzi Aslanov-1
1835,TEMIZLIK BEZI 5-LI RENGLI,Maishiy buyumlar,2.79,2019-05-31,False,Həzi Aslanov-1
1873,PAREX TOZ TOPLAYICI FIRCA,Maishiy buyumlar,1.21,2019-09-08,True,Həzi Aslanov-1
1874,KOLBASA H.N.OXOT/DEREVENSKI KG,Kolbasa va sosiskalar,10.95,2019-09-08,True,Həzi Aslanov-1
1875,KALINKA 1KG B.YAG-SPREDI ZEYTUNLU,Yog'lar,5.49,2019-09-08,True,Həzi Aslanov-1
1876,OSRAM LED STAR CLA 75 9.5W/827 FR E27 1554,Maishiy buyumlar,5.2,2019-09-08,True,Həzi Aslanov-1
1877,MPRO S.D. 1KG CANAQ PENDIRI PL/Q,Pishloqlar,8.65,2019-09-08,True,Həzi Aslanov-1
