,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
19,KOLBASA CARICINO SINYUQA D/L/T QOST KG,Kolbasa va sosiskalar,26.05,2019-04-04,False,M. Əcəmi
20,KONFET SLADUNICA XIT MILK KG,Shirinliklar,7.35,2019-04-04,False,M. Əcəmi
21,XAN 0.7LT ARAQ CINAR,Aroq,7.75,2019-04-04,False,M. Əcəmi
22,RUSSIAN SPEECH 700ML ARAQ SPECIAL QIRMIZI,Aroq,7.75,2019-04-04,False,M. Əcəmi
23,SAKURA QRAFIN DEST,Maishiy buyumlar,19.75,2019-04-04,False,M. Əcəmi
24,HARIBO 100GR JELEBON TEETH,Shirinliklar,1.15,2019-04-04,False,M. Əcəmi
76,KONFET QALAN VAREJKA KG,Shirinliklar,5.5,2019-06-14,False,M. Əcəmi
77,SOLEN 26GR BISCOLATA NIRVANA VAFLI KOKOSLU,Shirinliklar,0.5,2019-06-14,False,M. Əcəmi
78,HALK 700GR PECENYE FINGER,Shirinliklar,3.5,2019-06-14,False,M. Əcəmi
79,CAP PAPAQ 01150,To'qimachilik,11.5,2019-06-14,False,M. Əcəmi
80,HALVA LISOVA KAZKA SERBET PADISAX KG,Shirinliklar,8.8,2019-06-14,False,M. Əcəmi
81,KONTI 330GR TIMI PIROJNOE MALINA-SLIVKI,Shirinliklar,2.9,2019-06-14,False,M. Əcəmi
108,MPRO 200GR XAMA 10% KAUNASSKAYA PL/Q,Smetana,1.4,2019-06-24,False,M. Əcəmi
109,QIZIL QUYU 500ML LIMONAD UZUM S/Q,Mevali sharbatlar,1.0,2019-06-24,False,M. Əcəmi
110,PETRODIET 340GR PECENYE OVSYANOYE SO STEVIEY,Diabet mahsulotlari,3.6,2019-06-24,False,M. Əcəmi
350,CONFETTERIA 200GR RAFFAELLO KONFET QUTU,Shirinliklar,10.5,2019-10-05,True,M. Əcəmi
351,STEKAN LILIUM TEKLI,Maishiy buyumlar,0.75,2019-10-05,True,M. Əcəmi
352,PENDIR SAHIB F/S ALTIAQAC/CANAQ KG,Pishloqlar,5.65,2019-10-05,True,M. Əcəmi
353,CALVE 350GR KETCUP BAVARSKIY YASIL SOGAN,Souslar,1.93,2019-10-05,True,M. Əcəmi
354,VESTA 350GR LOKUM QOZLU,Shirinliklar,4.55,2019-10-05,True,M. Əcəmi
355,DANONE ACTIMEL 100GR ICM.YOQURT ADI PL/Q,Yogurt,1.0,2019-10-05,True,M. Əcəmi
372,NESCAFE 100GR KOFE CLASSIC POSET,"Kofe, kakao va h.k",3.95,2019-03-06,False,M. Əcəmi
373,GLENFIDDICH 0.5LT VISKI 12IL OLD,"Viski, tekila va h.k",51.62,2019-03-06,False,M. Əcəmi
374,QUSTIYAR 370GR QATILASDIRILMIS SUD 8.5% D/Q,Quyultirilgan sut,1.45,2019-03-06,False,M. Əcəmi
375,ICNYA 370GR QATILASDIRILMIS SUD AZ YAGLI D/Q,Quyultirilgan sut,1.08,2019-03-06,False,M. Əcəmi
376,AZIFUD 200GR SOUS CILI OSTRO-JQUCIY,Souslar,0.77,2019-03-06,False,M. Əcəmi
377,KONFET CAN KOZINAK KUNCUTLU KG,Shirinliklar,4.75,2019-07-04,True,M. Əcəmi
378,TOVARITCH 750ML PREMIUM ARAQ S/Q,Aroq,11.4,2019-07-04,True,M. Əcəmi
379,ZS QASIQ EDEDLI 31061,Idish-tovoq,3.2,2019-07-04,True,M. Əcəmi
380,DONDURMA SNICKERS 73.5GR SUDLU,Muzqaymoq,3.05,2019-07-04,True,M. Əcəmi
453,SOKOLAD LA SUISSA PISTACCHIO-MANDORLA KG,Shirinliklar,20.5,2019-06-10,False,M. Əcəmi
454,STAR LIGHT CLEAR 60W E-14 LAMPA,Maishiy buyumlar,0.85,2019-06-10,False,M. Əcəmi
919,KONFIRELLA 80GR PLITKA SOKOLAD MILKY LAKE,Shirinliklar,0.75,2019-05-27,True,M. Əcəmi
920,CRISPICO 125GR SNACK SEKERLI,Shirinliklar,2.55,2019-05-27,True,M. Əcəmi
921,VANISH KOSLA LEKE CIXARICI 900ML,"Yuvish vositalari, tozalagichlar",7.65,2019-05-27,True,M. Əcəmi
922,SIRIN CUBUQ 250GR SADE,Shirinliklar,0.95,2019-05-27,True,M. Əcəmi
923,FRES BUM 0.5LT LIMONAD UZUM,Mevali sharbatlar,1.55,2019-05-27,True,M. Əcəmi
924,BIZIM DUZ 1KG YODLASDIRILMIS XOREK DUZU,Ziravorlar,0.47,2019-05-27,True,M. Əcəmi
925,BAISAD 2.5KG DONMUS KARTOF FRI 10X10MM POSET,Konservalar,6.3,2019-05-27,True,M. Əcəmi
926,RUSSKIY PREMIUM 0.7LT PREMIUM ARAQ,Aroq,6.55,2019-05-27,True,M. Əcəmi
947,"GREENDAY 0,7LT IMPORTED ARAQ",Vinolar,28.2,2019-07-16,False,M. Əcəmi
948,INCI 40GR ZENCEFIL POSET,Ziravorlar,1.62,2019-07-16,False,M. Əcəmi
949,HELL 250ML ENERJI ICKI SERIN YAY YASIL D/Q,Energetik ichimliklar,1.85,2019-07-16,False,M. Əcəmi
950,OZ DAD 720GR SOUSLU ACI BIBER,Tuzlamalar,3.25,2019-07-16,False,M. Əcəmi
951,DONDURMA ICELAND 60GR OAZIS,Muzqaymoq,0.4,2019-07-16,False,M. Əcəmi
952,BERRAK 1700GR XIYAR TURSUSU,Tuzlamalar,6.4,2019-07-16,False,M. Əcəmi
953,ZEDAZENI 500ML LIMONAD FEYXOA S/Q,Mevali sharbatlar,1.22,2019-07-16,False,M. Əcəmi
954,MISTER TUM 140GR AG GUNEBAXAN TUMU POSET,Quritilgan mevalar to'plami,1.3,2019-07-16,False,M. Əcəmi
955,MINI MI VITTORIA 20DEN KALQOTKA 5,Paypoq,3.85,2019-07-16,False,M. Əcəmi
1005,SIGARET KENT NANOTEK FEEL,Tamaki mahsulotlari,3.3,2019-08-17,True,M. Əcəmi
1006,PECENYE ZARQAND LAKOMKA KG,Shirinliklar,7.25,2019-08-17,True,M. Əcəmi
1007,DR.WITT 1LT M.SIRESI CENUB MEYVE S/Q,Mevali sharbatlar,5.85,2019-08-17,True,M. Əcəmi
1214,MASTER DAK 10GR MIXEK PAKET,Ziravorlar,0.95,2019-01-14,False,M. Əcəmi
