,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
11,OLEYNA 1LT GUNEBAXAN YAGI,Yog'lar,3.05,2019-01-12,True,Maşın bazarı
12,FANAT 35GR SUXARI QIRMIZI KURULU,Quritilgan mevalar to'plami,0.2,2019-01-12,True,Maşın bazarı
13,SMART 50ML AYAQQABI KREMI LACIVERT,Poyafzal aksessuarlari,5.67,2019-01-12,True,Maşın bazarı
14,MERRY TEMIZLIK BEZI MOP 40SM*2N,"Yuvish vositalari, tozalagichlar",2.32,2019-01-12,True,Maşın bazarı
15,SIGARET LD CLUB EXCEL GOY,Tamaki mahsulotlari,1.8,2019-01-12,True,Maşın bazarı
16,PEYMAN 70GR FLAVOURED MIX SOSLU KAR.CEREZ,Quritilgan mevalar to'plami,2.55,2019-01-12,True,Maşın bazarı
17,RASPAK 500GR KRAXMAL KARTOFELNIY PAKET,Ziravorlar,3.65,2019-01-12,True,Maşın bazarı
18,QARAGOZ 750ML QIRMIZI KEMSIRIN SUFRE SERABI,Vinolar,3.33,2019-01-12,True,Maşın bazarı
236,MECTA XOZYAYKI 800ML MAYONEZ PROVANSAL 67%,Souslar,2.85,2019-03-05,True,Maşın bazarı
237,PASHA GOLDEN 250GR CAY,Choy,4.85,2019-03-05,True,Maşın bazarı
238,MONARX 350GR DUZ YODLU EKSTRA QIRMIZI PL/Q,Ziravorlar,1.55,2019-03-05,True,Maşın bazarı
239,KERE YAGI NEHRE KG,Yog'lar,12.5,2019-03-05,True,Maşın bazarı
240,VKUS SCASTYA 60GR CHOCOTIME PECENYE QARISIQ MEYVE,Shirinliklar,0.17,2019-03-05,True,Maşın bazarı
316,MULTIMIKS 330GR SOKOLADNO-MOLOCNAYA PASTA S/Q,Shirinliklar,2.2,2019-06-12,True,Maşın bazarı
317,SOCINSKIY M.525GR SOSISKI KLASSICESKIYE,Kolbasa va sosiskalar,7.95,2019-06-12,True,Maşın bazarı
318,MECTA XOZYAYKI 200ML MAYONEZ PROVANSAL 67%,Souslar,0.9,2019-06-12,True,Maşın bazarı
319,INCI 30GR QARA COREK OTU POSET,Ziravorlar,1.05,2019-06-12,True,Maşın bazarı
320,TESS 200GR QARA CAY SUNRISE QUTU,Choy,3.95,2019-06-12,True,Maşın bazarı
321,KARAMEL TOKAY KRASAVKA SUPER KAKAO/MOL.KG,Shirinliklar,4.35,2019-06-12,True,Maşın bazarı
384,MAXEEV 300GR CEM ENCIR ILE D/P,Shirinliklar,2.75,2019-10-08,False,Maşın bazarı
385,START 850GR KUKUR.XLOPYA NATURALNIE SEHER YEMEYI,Shirinliklar,4.95,2019-10-08,False,Maşın bazarı
386,KONFET SHIRIN SWEETY FEMIDA PLOMBIR KG,Shirinliklar,17.9,2019-10-08,False,Maşın bazarı
387,NUTCREAM 200GR FINDIQLI SOKOLAD PASTASI S/Q,Shirinliklar,3.65,2019-10-08,False,Maşın bazarı
388,BIZIM ASCI 800GR DUYU YUMRU,Donli mahsulotlar,1.35,2019-10-08,False,Maşın bazarı
389,PRESIDENT 200GR ERID.PENDIR VETCINALI PL/Q,Pishloqlar,3.07,2019-10-08,False,Maşın bazarı
403,SOR NES IVANOVKA KG,Tuz,3.9,2019-04-01,False,Maşın bazarı
404,PRIPRAVIC 15GR PRIPRAVA DLA SASLIKA POSET,Ziravorlar,0.5,2019-04-01,False,Maşın bazarı
405,DANESITA 340GR KEKSLER YAGLI D/Q,Shirinliklar,6.2,2019-04-01,False,Maşın bazarı
406,MVT.POMIDOR SALXIM KG,Sabzavotlar,4.45,2019-04-01,False,Maşın bazarı
407,GP LITHIUM BATAREYA 2LI CR2025-8C2,Batareya,1.78,2019-04-01,False,Maşın bazarı
408,GEZER ANATOMIK QADIN TERLIYI 07966 QEHVEYI,To'qimachilik,4.99,2019-04-01,False,Maşın bazarı
582,BAGI ORANIT 1L DOSEME TEMIZLEYICI MAYE,"Yuvish vositalari, tozalagichlar",10.25,2019-07-03,False,Maşın bazarı
583,SVALYA 250ML MYAU MOL.SOKOLADNIY NAPITOK,Kokteyllar,1.79,2019-07-03,False,Maşın bazarı
584,"PAULANER MUNCHEN 0,5LT PIVE 5,5% D/Q",Pivo,5.5,2019-07-03,False,Maşın bazarı
585,AZER SEKER 1.8KG KELLE QEND POSET,Shirinliklar,3.2,2019-07-03,False,Maşın bazarı
586,STORCK 70GR MAMBA JELEBON SOCNIY CENTR POSET,Shirinliklar,1.15,2019-07-03,False,Maşın bazarı
587,NES 5KG KELLE QEND,Shirinliklar,8.4,2019-07-03,False,Maşın bazarı
588,DANONE AKTIVIA 870GR ICM.YOQURT QARA GAVALI PL/Q,Yogurt,4.4,2019-07-03,False,Maşın bazarı
589,BALPARMAK 460GR CICEK BALI S/Q,Shirinliklar,15.75,2019-07-03,False,Maşın bazarı
691,MPRO S.D. 500ML KEFIR 2.5% T/P,Kefir,1.4,2019-05-28,False,Maşın bazarı
692,ANTIMOL ZOLUSKA N-1,Hasharotlarga qarshi,1.5,2019-05-28,False,Maşın bazarı
693,MOYA SEMYA 220GR KETCUP SASLICNIY POSET,Souslar,1.3,2019-05-28,False,Maşın bazarı
694,PECENYE DOMINIK AVTORALLI KG,Shirinliklar,3.35,2019-05-28,False,Maşın bazarı
695,HELL 250ML ENERJI ICKI SERIN YAY YASIL D/Q,Energetik ichimliklar,1.85,2019-05-28,False,Maşın bazarı
782,DOGADAN 20X2GR FORM GILAS CAYI,Choy,3.5,2019-02-11,True,Maşın bazarı
783,NES 700GR QATIQ KEND,Qatiq,1.3,2019-02-11,True,Maşın bazarı
784,KOLBASA OVQAT DOKTOR/LYUBITEL/RUSSKAYA KG,Kolbasa va sosiskalar,9.95,2019-02-11,True,Maşın bazarı
785,BERRAK 370ML BIBERIYE TURSUSU,Tuzlamalar,2.15,2019-02-11,True,Maşın bazarı
1102,OGAS 300GR LOKUM NARLI-YER FISTIKLI,Shirinliklar,7.05,2019-06-21,True,Maşın bazarı
1103,JAN 5LI SUNGER,"Yuvish vositalari, tozalagichlar",2.32,2019-06-21,True,Maşın bazarı
1104,POLIPAK YER BEZI 50*70 CM SUPER EMICI,"Yuvish vositalari, tozalagichlar",2.95,2019-06-21,True,Maşın bazarı
1105,BAGI  SHAMPOLISH BALZAM 750 ML QAB SAMPUNU,Idish yuvish vositalari,7.69,2019-06-21,True,Maşın bazarı
1212,LAYCY QUEEN 150GR MINI KEKS CIYELEKLI,Shirinliklar,1.9,2019-01-04,True,Maşın bazarı
1213,PARTY FUN HAPPY BIRTHDAY SAM CANDLE G004,Bayram uchun aksessuarlar,2.79,2019-01-04,True,Maşın bazarı
1284,STOJAR 0.87LT PREMIUM GUNEBAXAN YAGI,Yog'lar,1.95,2019-10-12,False,Maşın bazarı
1285,6 GRATER TYORKA KICIK,Maishiy buyumlar,3.95,2019-10-12,False,Maşın bazarı
1286,NES 400GR SOR,Tuz,1.75,2019-10-12,False,Maşın bazarı
1287,BIZIM TARLA 670GR XIYAR TURSUSU BOLQAR USULLU S/Q,Konservalangan sabzavotlar,2.45,2019-08-14,True,Maşın bazarı
1288,"MILLA 1LT SUD 0,1% T/P",Sut,1.65,2019-08-14,True,Maşın bazarı
1290,SNEJNAYA 0.5LT 40% ARAQ,Aroq,8.45,2019-08-14,True,Maşın bazarı
1291,FERMER 1KG BITKI-YAG SPREDI 82.5% MOSKOVSKOYE KERE,Yog'lar,4.1,2019-08-14,True,Maşın bazarı
1292,KONFET FABIOLA KOKOSLU KG,Shirinliklar,8.75,2019-08-14,True,Maşın bazarı
1293,LOLIPOP 12GR MASHA BONI,Shirinliklar,0.6,2019-08-14,True,Maşın bazarı
1294,NOVA PRODUKT 30GR FR.OREX.BATONCIK KLUBNICNIY,Shirinliklar,1.2,2019-08-14,True,Maşın bazarı
1455,HALVA AZOVSK.PODSOLNECNAYA KG,Shirinliklar,3.05,2019-09-01,True,Maşın bazarı
1456,IRAK.P.PADNOS IKI RENGLI SURUSMEYEN TP-135,Plastik idishlar,11.3,2019-09-01,True,Maşın bazarı
1466,FRESH BAR 330ML KOKTEYL MOXITO D/Q,Mevali sharbatlar,0.9,2019-04-09,True,Maşın bazarı
1467,SOKOLAD SOLEN WISH COCONUT KG,Shirinliklar,9.95,2019-04-09,True,Maşın bazarı
1468,ZS PODNUS PLASMAS SUSULKALI KICIK 32217,Idish-tovoq,2.35,2019-04-09,True,Maşın bazarı
1469,PENGUEN 320ML KARISIK MEYVE RECELI,Shirinliklar,2.85,2019-04-09,True,Maşın bazarı
1477,MAXEEV 420GR MAYONEZ PROVANSAL 67%,Souslar,2.0,2019-07-07,False,Maşın bazarı
1478,EARLY SPRING 290ML MARAKUYA EIRLI S/Q,Mevali sharbatlar,1.9,2019-07-07,False,Maşın bazarı
1479,METRE 3M,Maishiy buyumlar,1.3,2019-07-07,False,Maşın bazarı
1480,PASABAHCE 52052 SUSE BARDAK 6LI,Maishiy buyumlar,5.4,2019-07-07,False,Maşın bazarı
1481,ISBRE 0.33LT STANDART USAQ UCUN QAZSIZ SU PL/Q,Suvlar,1.8,2019-07-07,False,Maşın bazarı
1482,KINGSON OXLOV PLASTIK 5*191,Idish-tovoq,16.25,2019-07-07,False,Maşın bazarı
1483,LEPE QABI BOLMELI,Maishiy buyumlar,35.65,2019-07-07,False,Maşın bazarı
1484,BOSTAN 1LT GOYEM KOMPOTU,Kompotlar,1.32,2019-07-07,False,Maşın bazarı
1753,CARICINO 500GR KOLBASA QOST DOKTORSKAYA,Kolbasa va sosiskalar,8.1,2019-05-10,True,Maşın bazarı
1754,BASSO 250ML ZEYTUN YAGI RAFFINATI S/Q,Yog'lar,6.85,2019-05-10,True,Maşın bazarı
1755,ARKOM DIABET 60GR KARAMEL BARBARIS,Diabet mahsulotlari,1.4,2019-05-10,True,Maşın bazarı
1756,PARIN ZEFERAN 25GR KESHINIS TOXUMU POSET,Ziravorlar,0.65,2019-05-10,True,Maşın bazarı
1757,TANELLI 300GR SPAGETTI,Un mahsulotlari,0.32,2019-05-10,True,Maşın bazarı
