,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
25,KONFET ROT FRONT ANTOSKA-KARTOSKA KG,Shirinliklar,8.45,2019-01-07,True,N.Nərimanov
26,DR.NATURI 90GR ZDOROV.MENYU XLEBCI MULTIZLAK N10,Diabet mahsulotlari,0.95,2019-01-07,True,N.Nərimanov
27,YASHKINO 350GR KREKER ZOLOTAYA RIBKA,Shirinliklar,1.3,2019-01-07,True,N.Nərimanov
39,LEZZET-AA 250GR PECENYE KAKAOLU,Shirinliklar,0.9,2019-07-05,False,N.Nərimanov
40,EZEL PREMIUM 500ML QABYUYAN MAYE ALMA,Idish yuvish vositalari,1.55,2019-07-05,False,N.Nərimanov
41,RED BULL 4X250ML ENERGY DRINK PACK,Energetik ichimliklar,10.85,2019-07-05,False,N.Nərimanov
42,OSRAM SUPERSTAR LAMPA 64544A ECO 57W E27,Maishiy buyumlar,2.92,2019-07-05,False,N.Nərimanov
43,MOLPROEKT 900GR QATILASDIRILMIS SUD 8.5% PL/Q,Quyultirilgan sut,2.95,2019-07-05,False,N.Nərimanov
44,SNICKERS 87GR EXTRA KARAMEL,Shirinliklar,1.4,2019-07-05,False,N.Nərimanov
45,GEZEN CORAB 7,Paypoq,4.95,2019-07-05,False,N.Nərimanov
46,KOLOMENSKOE 220GR VAFLI S XALVOY,Shirinliklar,1.55,2019-07-05,False,N.Nərimanov
90,VITA 0.25LT PREMIUM SAFTALI SIRESI,Mevali sharbatlar,1.45,2019-01-15,False,N.Nərimanov
91,TENDIR T.KICIK,Non,0.5,2019-01-15,False,N.Nərimanov
92,SMILE LIGHT 1000W A55 LAMPA,Maishiy buyumlar,0.72,2019-01-15,False,N.Nərimanov
93,EARLY SPRING 290ML QARAGILE ETIRLI S/Q,Mevali sharbatlar,1.9,2019-01-15,False,N.Nərimanov
94,PENDIR GURCU MOTAL KECI KG,Pishloqlar,14.5,2019-01-15,False,N.Nərimanov
95,KONFET VOLSKAYA NA SLIVKAX  KG,Shirinliklar,6.55,2019-01-15,False,N.Nərimanov
96,LUNOXOD METRE 3M,Maishiy buyumlar,1.49,2019-01-15,False,N.Nərimanov
97,FINAL 450GR SUPER TEA HEDIYYELI CAY,Choy,6.15,2019-01-15,False,N.Nərimanov
216,PAKMAYA 78GR MEYVELI SOS PAKET,Souslar,1.55,2019-06-12,False,N.Nərimanov
217,Y.B.Q.0.5LT MOXITO KLASSICESKIY D/Q,Mevali sharbatlar,1.55,2019-06-12,False,N.Nərimanov
218,KONFET KONTI KONFETKINO KG,Shirinliklar,6.65,2019-06-12,False,N.Nərimanov
219,NEW CITY PLASTIK BOSQAB BOYUK 10-LU,Plastik idishlar,2.09,2019-06-12,False,N.Nərimanov
220,DANONE DANISSIMO 105GR FANTAZIYA YOQURT SOK.SARIKI,Yogurt,1.55,2019-06-12,False,N.Nərimanov
227,N1 ZAVOD 400GR COVDAR KURE COREYI,Non,0.5,2019-04-18,True,N.Nərimanov
228,HES 1000ML YUZEY TEMIZLEYICI CAM FERAHLIGI,"Yuvish vositalari, tozalagichlar",2.95,2019-04-18,True,N.Nərimanov
229,FINISH POWERBALL 940GR 50-LI HEBLER,Idish yuvish vositalari,34.29,2019-04-18,True,N.Nərimanov
