,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
69,DONDURMA MILLENNIUM 1KG YUBILEY QOZ-VANIL-KAR.PL/Q,Muzqaymoq,8.6,2019-02-04,True,Nərimanov-2
70,KAI DA GLASS MEYVE QABI 3040-1,Maishiy buyumlar,13.55,2019-02-04,True,Nərimanov-2
71,OZIBOX STARS SURPRIZ YUMURTA XXL,Shirinliklar,9.0,2019-02-04,True,Nərimanov-2
72,POBEDA 90GR SOKOLAD MOL.NIY VIZRIVNIE PCELK PLITKA,Shirinliklar,1.48,2019-02-04,True,Nərimanov-2
73,SIRAB 1.5LT MINERAL SU PL/Q,Suvlar,0.9,2019-02-04,True,Nərimanov-2
74,DANONE AKTIVIA 250GR YOQURT BANAN-OVSYANKA PL/Q,Yogurt,2.45,2019-02-04,True,Nərimanov-2
75,AVSAR 200ML GAZOZ QAZLI SU S/Q,Suvlar,1.1,2019-02-04,True,Nərimanov-2
230,YORK FIRCA QAB TEMIZLEMEK UCUN ART.NR041050,Maishiy buyumlar,1.34,2019-01-02,True,Nərimanov-2
231,PAREX POL TAXTASI+PASPAS HEDIYYE 6.,Maishiy buyumlar,2.26,2019-01-02,True,Nərimanov-2
232,HELLO KITTY HAPPY BIRTHDAY 4-LU SAM DESTI,Bayram uchun aksessuarlar,4.46,2019-01-02,True,Nərimanov-2
233,ILKBAR 370GR TOMAT PURESI S/Q,Konservalangan sabzavotlar,1.35,2019-01-02,True,Nərimanov-2
234,MONTELLA GRANIT QAZAN 26SM,Idish-tovoq,24.5,2019-01-02,True,Nərimanov-2
235,LAV  ASN 274 CAY TABAGI 12*6,Maishiy buyumlar,6.75,2019-01-02,True,Nərimanov-2
241,SUZGEC N6,Idish-tovoq,0.99,2019-10-17,True,Nərimanov-2
242,SANITEX TEKLI BULASIQ SUNGERI,"Yuvish vositalari, tozalagichlar",0.36,2019-10-17,True,Nərimanov-2
243,SUPER FRESH 450GR KAYSERI MANTISI POSET,Un mahsulotlari,5.45,2019-10-17,True,Nərimanov-2
244,GEZEN KISI ALT GEYIMI 2,Paypoq,3.75,2019-10-17,True,Nərimanov-2
276,"DAS WEIZEN 0,5LT PIVE S/Q",Pivo,5.9,2019-05-26,False,Nərimanov-2
277,VDOXNOVENIE 100GR SOKOLAD KLASSICESKIY PLITKA,Shirinliklar,2.7,2019-05-26,False,Nərimanov-2
278,KONFET KONTI TIMI SLIVKI KG,Shirinliklar,9.7,2019-05-26,False,Nərimanov-2
279,TESS 25X1.8GR QARA CAY SUNRISE QUTU,Choy,1.87,2019-05-26,False,Nərimanov-2
280,KONFET ROSHEN KONAFETTO KREM OREX KG,Shirinliklar,10.4,2019-05-26,False,Nərimanov-2
281,CER.ERIK DENESI KG,Quruq mevalar,9.8,2019-05-26,False,Nərimanov-2
282,CONTE PRESTIGE 12DEN QADIN KALQOT 5 BRONZ,Paypoq,5.55,2019-05-26,False,Nərimanov-2
356,I AM TEA 500ML SOYUQ CAY QARPIZ PL/Q,Yaxna choylar,0.85,2019-02-12,True,Nərimanov-2
357,NID 50GR SODA POSET,Ziravorlar,0.3,2019-02-12,True,Nərimanov-2
358,UZUN OMUR 400GR QAYMAQ 40%,Qaymoq,1.98,2019-02-12,True,Nərimanov-2
359,LYUKS 1KG B.YAG SPREDI,Yog'lar,3.6,2019-02-12,True,Nərimanov-2
487,HAITAI POP 500ML ALOE MEYVE SIRESI PL/Q,Mevali sharbatlar,1.65,2019-05-27,False,Nərimanov-2
488,EHRMANN 290GR ICM.YOQURT SAFTALI-MARAKUYA 1.2%,Yogurt,1.52,2019-05-27,False,Nərimanov-2
489,DARLETTO 370GR PECENYE ZEMLYANIKA,Shirinliklar,2.45,2019-05-27,False,Nərimanov-2
490,KONFET ELIT MINIBON/MENTOLIT KG,Shirinliklar,9.1,2019-05-27,False,Nərimanov-2
491,QUARTZ SAAT BUDILNIK BALACA,Maishiy buyumlar,2.69,2019-05-27,False,Nərimanov-2
534,SOKOLAD ULDUZ KOROVKA SUDLU BUKME KG,Shirinliklar,4.15,2019-10-03,False,Nərimanov-2
535,KOLBASA OVQAT MOLOCNAYA/KURINAYA/HIND QUSU KG,Kolbasa va sosiskalar,9.65,2019-10-03,False,Nərimanov-2
536,BAGDAN 900ML POMIDOR TURSUSU,Tuzlamalar,2.4,2019-10-03,False,Nərimanov-2
537,OSRAM DULUXSTAR LAMPA 12W/6500K E27,Maishiy buyumlar,4.23,2019-10-03,False,Nərimanov-2
538,DIET.KARAMEL 30GR KLUBNIKA,Diabet mahsulotlari,1.0,2019-10-03,False,Nərimanov-2
539,JINGO 500ML ALBALI LIMONAD PL/Q,Mevali sharbatlar,0.9,2019-10-03,False,Nərimanov-2
598,CAN 500GR MARMELAD RULET PL/Q,Shirinliklar,2.16,2019-07-03,True,Nərimanov-2
599,PENDIR MUHLENHOF EDAM KG,Pishloqlar,13.1,2019-07-03,True,Nərimanov-2
600,AQUA VITA 0.5LT GULUSTAN ALBALI,Mevali sharbatlar,0.43,2019-07-03,True,Nərimanov-2
601,QEBELE 500GR SABALID YARIMFABRIKAT PREMIUM PL/Q,Konservalar,17.85,2019-07-03,True,Nərimanov-2
602,MEDALLION 0.7LT ORIGINAL ARAQ,Aroq,7.3,2019-07-03,True,Nərimanov-2
603,MIRATORQ 300GR KOTLETI IZ KURINOQO FILE QUTU,Konservalar,4.6,2019-07-03,True,Nərimanov-2
604,EL EMEYI PEHRIZ LAVASI,Non,0.7,2019-07-03,True,Nərimanov-2
613,PRIPRAVIC 10GR RAZRIXLITEL TESTA POSET,Ziravorlar,0.47,2019-05-26,True,Nərimanov-2
614,NATURA 200ML ALBALI MEYVE SIRESI,Mevali sharbatlar,0.37,2019-05-26,True,Nərimanov-2
615,XORTICYA 1LT ARAQ BLACK GOLD OSOBAYA S/Q,Aroq,16.7,2019-05-26,True,Nərimanov-2
616,PENDIR NES IVANOVKA MALOCNIK KG,Pishloqlar,6.2,2019-05-26,True,Nərimanov-2
617,MERIT BRAND 0.75LT MIRVARI MADRASA QIR.TURS SERAB,Vinolar,7.1,2019-05-26,True,Nərimanov-2
972,XOMAN 1KG BITKI KERE SPREDI YAG,Yog'lar,6.43,2019-09-22,True,Nərimanov-2
973,SOKOLAD AVK BURUNDUCOK KG,Shirinliklar,7.55,2019-09-22,True,Nərimanov-2
974,EM PAK 500ML SUSE SILEN MAYE,"Yuvish vositalari, tozalagichlar",1.08,2019-09-22,True,Nərimanov-2
975,VITA 1LT PREMIUM MULTIMEYVE SIRESI,Mevali sharbatlar,3.65,2019-09-22,True,Nərimanov-2
976,CAGLA 325GR TRUFFINO TRUFFLE KOKOSLU CANTA,Shirinliklar,15.7,2019-09-22,True,Nərimanov-2
977,SVALYA 50GR SIROK VANILLI 18%,Tvorog,0.93,2019-09-22,True,Nərimanov-2
978,KONFIROM 250GR CAKE TIME PIROQ ERIK QURUSU QUTU,Shirinliklar,2.6,2019-09-22,True,Nərimanov-2
979,SMILE LIGHT 60W A55 LAMPA,Maishiy buyumlar,0.72,2019-09-22,True,Nərimanov-2
980,HOME PROJECT AYAQQABI QUTUSU QADIN ASR-5006,Poyafzal aksessuarlari,2.99,2019-09-22,True,Nərimanov-2
1050,QRINFILD RUS 100GR ERPE QARSI TOZ,"Yuvish vositalari, tozalagichlar",0.89,2019-01-02,False,Nərimanov-2
1051,KENT 12*100GR BULYON TOZ TAVUK,Ziravorlar,0.9,2019-01-02,False,Nərimanov-2
1052,SOSISKA SAB SABAH KG,Kolbasa va sosiskalar,8.45,2019-01-02,False,Nərimanov-2
1053,BELLO MANUAL 440GR POSET,Kiyim-kechak uchun,1.45,2019-01-02,False,Nərimanov-2
1054,AQUA VITA 1LT QAZLI SU PL/Q,Suvlar,0.55,2019-01-02,False,Nərimanov-2
1055,KARAMEL ULDUZ KLUBNIKA SO SLIVKAMI KG,Shirinliklar,3.85,2019-01-02,False,Nərimanov-2
1056,SUPER FRESH 1000GR PATATES FRENCH FRIES POSET,Konservalar,5.7,2019-01-02,False,Nərimanov-2
1057,GEZEN CORAB 1 AZN,Paypoq,1.0,2019-01-02,False,Nərimanov-2
1222,BOSTAN 3KG QARISIQ TURSU S/Q,Tuzlamalar,6.65,2019-09-16,False,Nərimanov-2
1223,SAN-SLAVIA 500ML LIMONAD LIMON-LAYM S/Q,Mevali sharbatlar,2.0,2019-09-16,False,Nərimanov-2
1224,PRINGLES 165GR CIPS KRAB,Quritilgan mevalar to'plami,4.15,2019-09-16,False,Nərimanov-2
1225,HES 3KG CAMASIR TOZU ELDE YUMA (1*4),Kiyim-kechak uchun,7.45,2019-09-16,False,Nərimanov-2
1226,CAYKA 400GR YUYUCU TOZ KONDICIONEROM AVTO,Kiyim-kechak uchun,1.09,2019-09-16,False,Nərimanov-2
1241,TORT GOTUREN LOPATKA,Maishiy buyumlar,2.75,2019-09-25,False,Nərimanov-2
1242,ADMIRAL 500GR UKSUS IZ BELOQO VINA 6% PL/Q,Souslar,4.3,2019-09-25,False,Nərimanov-2
1438,VARTA AA 1.5V 2-LI  BATAREYA,Batareya,2.85,2019-10-12,True,Nərimanov-2
1439,RUSALKO 1LT ARAQ S/Q,Aroq,7.35,2019-10-12,True,Nərimanov-2
1440,KARAMEL KONFIL KLUBNIKA SO SLIVKAMI KG,Shirinliklar,4.15,2019-10-12,True,Nərimanov-2
1441,GO 500ML SPIRTLI ENERGY DRINK D/Q,Energetik ichimliklar,2.0,2019-10-12,True,Nərimanov-2
1442,COREK BURGER BREAD,Non,0.4,2019-10-12,True,Nərimanov-2
1443,NES 400GR PRYANIK SADE CEMLI PACKA,Shirinliklar,1.1,2019-10-12,True,Nərimanov-2
1449,TITIZ PALTAR FIRCASI,Maishiy buyumlar,3.08,2019-08-10,True,Nərimanov-2
1450,CAMELION 12V ALKALINE REMOTE CONTROL,Batareya,1.89,2019-08-10,True,Nərimanov-2
1451,CINAR 750ML SERAB AG KEMTURS S/Q,Vinolar,6.6,2019-08-10,True,Nərimanov-2
1452,CISTIN 500ML QABYUYAN MAYE ROMASHKA,Idish yuvish vositalari,1.51,2019-08-10,True,Nərimanov-2
1453,ABC OV 500GR QAB YUYUCU TOZ LEMON,Idish yuvish vositalari,1.42,2019-08-10,True,Nərimanov-2
1454,LENOR 910ML PALTAR YUMSAL.MASLO SI,"Yuvish vositalari, tozalagichlar",4.5,2019-08-10,True,Nərimanov-2
1530,DRAJE BALIN BITTER BADAMLI SUDLU KG,Shirinliklar,10.3,2019-05-01,False,Nərimanov-2
1531,KONFET SWEET LIFE MOLOKOVOZ KG,Shirinliklar,4.4,2019-05-01,False,Nərimanov-2
1532,"AQUA VITA 1,5LT GULUSTAN ALBALI",Mevali sharbatlar,1.06,2019-05-01,False,Nərimanov-2
1533,KENTON 250GR PIRINC UNU VITAMINLI,Un,1.65,2019-05-01,False,Nərimanov-2
1543,SUN PALERMO 0.5LT PREMIUM QARGIDALI YAGI,Yog'lar,2.15,2019-09-14,False,Nərimanov-2
1544,PINAR 180GR PENDIR LABNE CHOCO PL/Q,Pishloqlar,3.15,2019-09-14,False,Nərimanov-2
1545,QERKULES 210GR KASA ASSORTI,Nonushta,2.95,2019-09-14,False,Nərimanov-2
