,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
130,AXA 350GR 30%LI XLOPYA NATURALNIE,Shirinliklar,3.55,2019-04-27,True,Radiozavod
131,KENT 200GR MISIR NISASTASI,Ziravorlar,1.45,2019-04-27,True,Radiozavod
132,BEREKETLI RUZI 20GR TORT MUNCUGU POSET,Ziravorlar,1.85,2019-04-27,True,Radiozavod
143,CAVENDISH&HARVEY 50GR MANPASI LEMON DROPS D/Q,Shirinliklar,2.1,2019-03-05,True,Radiozavod
144,VESTA 350GR LOKUM KARISIK MEYVELI,Shirinliklar,3.65,2019-03-05,True,Radiozavod
145,SMILE LIGHT 60W A55 LAMPA,Maishiy buyumlar,0.72,2019-03-05,True,Radiozavod
146,SOKOLAD ULDUZ KOROVKA SUDLU BUKME KG,Shirinliklar,4.15,2019-03-05,True,Radiozavod
151,DIET.PETRODIET 200GR KONFET LESNAYA SKAZKA,Diabet mahsulotlari,4.3,2019-10-27,False,Radiozavod
152,OLMECA 0.5LT TEKILA BLANCO,"Viski, tekila va h.k",31.18,2019-10-27,False,Radiozavod
153,DANONE DANISSIMO 130GR KESMIK FISTASKOVOYE MOROJ.,Yogurt,1.65,2019-10-27,False,Radiozavod
154,JA! 250GR KREKER CUBUQ DUZLU POSET,Shirinliklar,2.15,2019-10-27,False,Radiozavod
155,CACHET 400GR SOKOLAD ASSORTI QUTU,Shirinliklar,32.0,2019-10-27,False,Radiozavod
156,CHUPA CHUPS 15GR B-POP TROPIK MEYVELI,Shirinliklar,0.5,2019-10-27,False,Radiozavod
157,BINGO 1.35KG YUYUCU TOZ AUTOMAT AG,Kiyim-kechak uchun,4.7,2019-10-27,False,Radiozavod
158,JACOBS MONARCH 12.5GR KOFE 3IN1 KAPUCCINO 4+1,"Kofe, kakao va h.k",0.9,2019-10-27,False,Radiozavod
223,MOSQUITALL 100ML AEROZOL OT KOMAROV 2GECE,Hasharotlarga qarshi,5.06,2019-05-23,True,Radiozavod
224,LYUBIMIY 0.2LT M.SIRESI TROPIK MIKS,Mevali sharbatlar,0.38,2019-05-23,True,Radiozavod
225,BEE HOME PLASTIK CEVIRICI KOD:BEE 5223,Idish-tovoq,0.89,2019-05-23,True,Radiozavod
226,XORTICYA 1LT ARAQ ICE S/Q,Aroq,17.3,2019-05-23,True,Radiozavod
558,BULBASH 0.5LT VODKA PREMIUM,Aroq,19.5,2019-01-24,True,Radiozavod
559,BETA TEA 25X2GR CAY MORUQLU,Choy,1.7,2019-01-24,True,Radiozavod
560,ZOLOTOY SAD 1LT PR.PORTAGAL MEYVE SIRESI T/P,Mevali sharbatlar,1.88,2019-01-24,True,Radiozavod
561,CER.QOZ QABIQLI CILI KG,Quruq mevalar,13.8,2019-01-24,True,Radiozavod
562,PINAR 200ML SUD QUTU,Sut,0.88,2019-01-24,True,Radiozavod
563,RITTER SPORT 100GR INTENSE FROM PERU PL/SOKOLAD,Shirinliklar,3.8,2019-01-24,True,Radiozavod
564,B.YAG SPREDI ALDA LYUKS 82.5% KG,Yog'lar,7.25,2019-01-24,True,Radiozavod
565,TORT QABI 677,Maishiy buyumlar,5.39,2019-01-24,True,Radiozavod
590,LINA 45GR KUKURUZ SADE,Shirinliklar,0.6,2019-03-28,False,Radiozavod
591,SUPER SUN 450GR BITKI-YAG SPREDI 82% KERELI,Yog'lar,2.63,2019-03-28,False,Radiozavod
592,BAGI  SHAMPOLISH BALZAM 750 ML QAB SAMPUNU,Idish yuvish vositalari,7.69,2019-03-28,False,Radiozavod
593,JAN MIKROFIBRI 40*40CM 3AD BEZ METBEX UCUN,"Yuvish vositalari, tozalagichlar",1.83,2019-03-28,False,Radiozavod
594,MENTOS 37GR JEVATELNIE DRAJE MYATA,Saqichlar,0.7,2019-03-28,False,Radiozavod
595,CLOTHESLINE PALTAR IPI 50 METR TROS,Maishiy buyumlar,4.19,2019-03-28,False,Radiozavod
596,BALTIKA 0 PIVE 0.33LTQREYFRUT D/Q,Pivo,1.0,2019-03-28,False,Radiozavod
