,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
251,LIPTON 0.5LT ICE TEA YASIL CAY PL/Q,Yaxna choylar,0.99,2019-10-12,True,Xalqlar dostluğu
252,KONFET KONTI SOUFFLE DESSERT KG,Shirinliklar,8.2,2019-10-12,True,Xalqlar dostluğu
253,MVT.3KG ALCA TURSUSU,Tuzlamalar,5.9,2019-10-12,True,Xalqlar dostluğu
254,HAMAM DESMALI USAQ UCUN,To'qimachilik,8.1,2019-10-12,True,Xalqlar dostluğu
255,PRESIDENT 150GR PENDIR MAAZDAM 8LI,Pishloqlar,2.5,2019-10-12,True,Xalqlar dostluğu
256,OLITALIA 1LT ZEYTUN YAGI EXTRAVIRGIN,Yog'lar,21.95,2019-10-12,True,Xalqlar dostluğu
257,OZ DAD 450GR KURU BADIMCAN KOZ,Konservalangan sabzavotlar,4.95,2019-10-12,True,Xalqlar dostluğu
258,PROSTOKVASINO 130GR KESMIK 0%,Tvorog,1.4,2019-10-12,True,Xalqlar dostluğu
259,FIRIN.COREK COVDARLI 250GR BATON EDED,Non,0.5,2019-10-12,True,Xalqlar dostluğu
346,ORION 42GR CHOCO BOY PECENYE+SOKOLAD QUTU,Shirinliklar,1.0,2019-07-09,True,Xalqlar dostluğu
347,MAGNAT 48GR CHERRY DREAM SOKOLAD QUTU,Shirinliklar,2.2,2019-07-09,True,Xalqlar dostluğu
348,JIQULI 0.33LT PIVO FIRMENNOE S/Q,Pivo,2.25,2019-07-09,True,Xalqlar dostluğu
349,PAREX 1LI SUSE TEMIZLEYICI TELESKOPIK SAPLI,Maishiy buyumlar,4.1,2019-07-09,True,Xalqlar dostluğu
472,BELQORODSKOE 350GR QATILASDIRILMIS SUD,Quyultirilgan sut,1.35,2019-05-09,True,Xalqlar dostluğu
473,BALTIKA KULER 2LT PIVE PL/Q,Pivo,6.6,2019-05-09,True,Xalqlar dostluğu
474,AREON 35GR KEN VISNYE MASIN TERAVET,Avto,7.29,2019-05-09,True,Xalqlar dostluğu
475,SANFOR 750ML UNIVERSAL TEMIZLEYICI LIMONLU,"Yuvish vositalari, tozalagichlar",2.57,2019-05-09,True,Xalqlar dostluğu
476,"KARAMEL KONFIROM WALKERS,KING TOWER KG",Shirinliklar,4.95,2019-05-09,True,Xalqlar dostluğu
477,YAKAMOZ 350GR ACI BIBER TURSUSU S/Q,Tuzlamalar,2.75,2019-05-09,True,Xalqlar dostluğu
478,PENDIR MUHLENHOF GOUDA KG,Pishloqlar,13.35,2019-05-09,True,Xalqlar dostluğu
