,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
111,ESTRELLA 500ML PIVE 4.6% D/Q,Pivo,3.95,2019-10-04,False,Xırdalan
112,BETA TEA 20X2.5GR BITKI CAY KUSBURNU QUTU,Choy,2.0,2019-10-04,False,Xırdalan
113,PRESIDENT 400GR XAMA 10% PL/Q,Smetana,2.67,2019-10-04,False,Xırdalan
114,HES 9KG CAMASIR TOZU MATIC BAHAR,Kiyim-kechak uchun,14.99,2019-10-04,False,Xırdalan
115,SUPER SUN 300GR AG LOBYA ETLI,Konservalar,2.9,2019-10-04,False,Xırdalan
116,KARAMEL SHIRIN LILY FRUTA LIMON KG,Shirinliklar,3.9,2019-10-04,False,Xırdalan
117,AIST 200GR BI-O-XI PERSOL BEZ XLORA,"Yuvish vositalari, tozalagichlar",1.55,2019-10-04,False,Xırdalan
118,SLAVYANKA 500ML QAZSIZ SU S/Q,Suvlar,0.83,2019-10-04,False,Xırdalan
119,NALIBOKI 0.5LT ARAQ BELALFA 40%,Aroq,11.25,2019-07-02,True,Xırdalan
120,AQUA MINERAL 2LT QAZSIZ SU,Suvlar,0.8,2019-07-02,True,Xırdalan
121,BISMAK 90GR PECENYE KREMALI CIYELEKLI,Shirinliklar,0.32,2019-07-02,True,Xırdalan
122,MVT.UZUM KISMISI AG KG,Mevalar,4.99,2019-07-02,True,Xırdalan
123,PECENYE BOM-BIK RODZINKA KUNCUT-GUNEBAXAN KG,Shirinliklar,7.3,2019-07-02,True,Xırdalan
124,KRESTYANSKOE 200GR BITKI-YAG SPREDI 82%,Yog'lar,0.99,2019-07-02,True,Xırdalan
125,PAREX DETERJAN HAZNELI FIRCA,Maishiy buyumlar,0.79,2019-07-02,True,Xırdalan
390,CERNIY OREL 0.5LT EKSKLUZIV ARAQ,Aroq,4.5,2019-06-10,True,Xırdalan
391,IRIS DOMA FUDGE KISMIS/FINDIQ ACIQ KG,Shirinliklar,5.75,2019-06-10,True,Xırdalan
392,"PFANNER 0,2LT ORANGE JUICE",Mevali sharbatlar,2.15,2019-06-10,True,Xırdalan
393,MIA 0.5LT LIMONAD LIMON S/Q,Mevali sharbatlar,1.1,2019-06-10,True,Xırdalan
394,"GP 24AU-U2 ULTRA AAA 1,5V",Batareya,1.8,2019-06-10,True,Xırdalan
395,MOON BERRY 1.5LT NAPITOK ALOE VERA PL/Q,Mevali sharbatlar,3.4,2019-06-10,True,Xırdalan
396,ILGIM 20GR EDV.MEKKE GULU,Ziravorlar,0.7,2019-06-10,True,Xırdalan
397,TACH KARDON STEKAN 6-LI,Idish-tovoq,1.2,2019-06-10,True,Xırdalan
398,SECME 700GR KELLE QEND POSET,Shirinliklar,1.26,2019-06-10,True,Xırdalan
413,SOKOLAD KONFIL LEDILIYA KG,Shirinliklar,5.85,2019-03-07,False,Xırdalan
414,SVALYA 400GR KERE YAGI 82%,Yog'lar,7.95,2019-03-07,False,Xırdalan
415,CISTIN 750 GR GEL,"Yuvish vositalari, tozalagichlar",1.73,2019-03-07,False,Xırdalan
416,LAV DESENLI 3-LU BAKAL DRN356,Idish-tovoq,8.55,2019-03-07,False,Xırdalan
417,KONFET RAXAT ZAYKA KG,Shirinliklar,5.9,2019-03-07,False,Xırdalan
492,NEW ARRIVAL ASILQAN QAB-QACAQ UCUN ORTA,Idish-tovoq,17.55,2019-07-19,True,Xırdalan
493,NESTLE 90GR SOKOLAD QORKIY 70% PLITKA,Shirinliklar,1.4,2019-07-19,True,Xırdalan
494,PRESIDENT 150GR PENDIR CHIZBURGER,Pishloqlar,2.5,2019-07-19,True,Xırdalan
495,SAF-NEVA 11GR DROJJI FERMIPAN PAKET,Ziravorlar,0.35,2019-07-19,True,Xırdalan
496,SOKOLAD BARON SARIK GREVINNAN KG,Shirinliklar,17.6,2019-07-19,True,Xırdalan
497,N1 ZAVOD 500GR PAYTAXT COREYI,Non,0.6,2019-07-19,True,Xırdalan
498,JOHNSON 500ML UTENOK WC TEMIZLEYICI CITRUSOVY,"Yuvish vositalari, tozalagichlar",3.43,2019-07-19,True,Xırdalan
508,MASTER DAK 10GR LIMONNAYA KISLOTA POSET,Ziravorlar,0.15,2019-06-06,True,Xırdalan
509,COREK BINE ZAVOD 580GR,Non,0.4,2019-06-06,True,Xırdalan
510,BETA CAFFITO 100GR ALA TURK KAHVESI,"Kofe, kakao va h.k",2.35,2019-06-06,True,Xırdalan
511,FUSE TEA 500ML ICE TEA SAFTALI,Yaxna choylar,0.95,2019-06-06,True,Xırdalan
