,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
28,DR.GERARD 80GR KREKER BAGUETTES GARLIC&HERBS,Shirinliklar,1.65,2019-06-15,False,Xətai
29,NID 15GR EDV.RAZYANA UYUDULMUS POSET,Ziravorlar,0.35,2019-06-15,False,Xətai
159,LERIK BALI 300GR YENI,Shirinliklar,7.9,2019-05-18,False,Xətai
160,KILIKYA ADANA 1LT SALGAM SUYU ACILI PL/Q,Mevali sharbatlar,2.7,2019-05-18,False,Xətai
161,KOLBASA H.T MUBAH H/V VAKUM KG,Kolbasa va sosiskalar,11.15,2019-05-18,False,Xətai
162,NES 800GR QIRMIZI MERCI POSET,Donli mahsulotlar,1.79,2019-05-18,False,Xətai
163,ANI 40GR BRAWO DONUT KEKS BANANLI,Shirinliklar,0.3,2019-05-18,False,Xətai
164,SIGARET KENT NANOTEK NEO 4,Tamaki mahsulotlari,3.3,2019-05-18,False,Xətai
165,BIZIM SUFRE 250GR SOUS PENDIRLI PL/Q,Souslar,2.15,2019-05-18,False,Xətai
166,PECENYE ZARQAND LAKOMKA KG,Shirinliklar,7.25,2019-05-18,False,Xətai
167,ANAKOM 75GR LAPSA ETLI BULYON,Un mahsulotlari,0.8,2019-05-18,False,Xətai
268,HEINZ 350GR KETCUP OSTRIY POSET,Souslar,2.3,2019-05-21,False,Xətai
269,HALVA AZOVSK.PODSOLNECNAYA KG,Shirinliklar,3.05,2019-05-21,False,Xətai
270,UVELKA 800GR QARABASAQ EKSTRA,Donli mahsulotlar,3.15,2019-05-21,False,Xətai
271,SAVILLE 1LT ALMA SIRKESI,Souslar,3.75,2019-05-21,False,Xətai
272,MIRATORQ 340GR STRIPSI KURINIE PANIROV.QUTU,Konservalar,5.05,2019-05-21,False,Xətai
436,AZERCAY 400GR ASTARA QARA CAY BUKET,Choy,5.9,2019-04-09,False,Xətai
437,DANONE AKTIVIA 290GR ICM.YOQURT MANGO PL/Q,Yogurt,1.8,2019-04-09,False,Xətai
438,SVALYA 380GR XAMA 30% PL/Q,Smetana,4.15,2019-04-09,False,Xətai
439,HAITAI POP 238ML QARA UZUM MEYVE SIRESI D/Q,Mevali sharbatlar,1.65,2019-04-09,False,Xətai
440,VISH BIO 3KG AVTOMAT YUYUCU TOZ AG/RENGLI,Kiyim-kechak uchun,10.58,2019-04-09,False,Xətai
480,VANISH 450ML AGARDICI,"Yuvish vositalari, tozalagichlar",3.88,2019-09-06,True,Xətai
481,"SANDORA 1,5LT ALMA SIRESI",Mevali sharbatlar,3.3,2019-09-06,True,Xətai
482,CAYKA 400GR YUYUCU TOZ DETSKIY AVTO,Kiyim-kechak uchun,1.09,2019-09-06,True,Xətai
483,TADIM 45GR KAVRULMUS BADEM ICI,Quritilgan mevalar to'plami,2.1,2019-09-06,True,Xətai
484,B.CAN KISE KADIR GULER ORTA,"Yuvish vositalari, tozalagichlar",1.8,2019-09-06,True,Xətai
485,MISTER TUM 75GR QARISIQ CEREZ POSET,Quritilgan mevalar to'plami,2.1,2019-09-06,True,Xətai
486,TITIZ ARONI QIF AP-9320,Plastik idishlar,1.3,2019-09-06,True,Xətai
751,LINDT EXCELLENCE 100GR SOKOLAD 78% CACAO,Shirinliklar,5.45,2019-10-18,False,Xətai
752,QINYETOGULLARI 300GR SEKI BALI QARATIKAN,Shirinliklar,10.05,2019-10-18,False,Xətai
753,YASHKINO 200GR RULET QARAGILE,Shirinliklar,1.1,2019-10-18,False,Xətai
754,DONDURMA SELENA 70GR CAPPUCCINO PLOMBIR SOKOLADLI,Muzqaymoq,0.7,2019-10-18,False,Xətai
755,SIRAB 0.5LT QAZSIZ SU S/Q,Suvlar,0.8,2019-10-18,False,Xətai
756,BONUS ALPEMOF ELEKTRIKLI QAZAN,Maishiy buyumlar,52.8,2019-10-18,False,Xətai
