,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
176,IYNE DEST 12-LI PAKE,To'qimachilik,0.45,2019-08-16,True,Yasamal
177,ATENA 500GR BEYAZ PENDIR PL/Q,Pishloqlar,4.65,2019-08-16,True,Yasamal
178,RASIMOGLU 600GR DUSBERE PAKET,Un mahsulotlari,7.7,2019-08-16,True,Yasamal
179,NAS MOLOCNIK 200GR KRESTYANSKOYE KERE YAGI 72.6%,Yog'lar,3.2,2019-08-16,True,Yasamal
180,PANASONIC 4AD BATAREYKA SIZE S LR03APB/4BP,Batareya,4.75,2019-08-16,True,Yasamal
181,CIF KREM 500ML CAMASIR SUYU KATKILI,"Yuvish vositalari, tozalagichlar",3.95,2019-08-16,True,Yasamal
182,ABSERON SERAB 0.5LT BLACK JACK VISKI,"Viski, tekila va h.k",8.5,2019-08-16,True,Yasamal
441,GROSIK 10M ALYUMINEVAYA FOLQA,Maishiy buyumlar,2.25,2019-03-19,True,Yasamal
442,ELLE&VIRE 250GR KERE YAGI 82% DUZSUZ,Yog'lar,6.8,2019-03-19,True,Yasamal
443,FANTA 2LT DUSHES,Gazli ichimliklar,1.48,2019-03-19,True,Yasamal
444,KOLBASA R.V TOYUQ DERIDEN SERVELAT KG,Kolbasa va sosiskalar,12.2,2019-03-19,True,Yasamal
445,DAMAS TEX TEMIZLIK BEZI 50*100SM,"Yuvish vositalari, tozalagichlar",1.95,2019-03-19,True,Yasamal
800,PECENYE GRONA IZYUMINKA SLOENOE KG,Shirinliklar,5.3,2019-10-04,False,Yasamal
801,DANONE RASTISKA 200GR ICM.YOQURT CIYELEK-MORUQLU,Yogurt,1.7,2019-10-04,False,Yasamal
822,OLCU QABI 1000ML PLASTIK SADE,Plastik idishlar,4.48,2019-10-06,False,Yasamal
823,KOLBASA S.D OXOT Y/H/V KG,Kolbasa va sosiskalar,11.65,2019-10-06,False,Yasamal
824,BETA TEA 100GR YASIL CAY JASMINLI,Choy,1.85,2019-10-06,False,Yasamal
825,PENTI PREMIUM KOLLEKS.FIT 20 KALQOTKA C.,Paypoq,4.69,2019-10-06,False,Yasamal
826,SENATOR 0.5LT ARAQ,Aroq,5.55,2019-10-06,False,Yasamal
827,TOYBOX 35GR CAKIL DRAJE PL/Q,Shirinliklar,0.8,2019-10-06,False,Yasamal
