,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
58,HEDIYYE CASKA JUST FOR YOU,Maishiy buyumlar,6.09,2019-06-02,False,Yeni Yasamal
59,BIZNES MENYU 45GR BIZNES LANC LAPSA QOVYADINA,Un mahsulotlari,0.25,2019-06-02,False,Yeni Yasamal
60,KONFET AVK TRYUFEL CIYELEKLI KG,Shirinliklar,10.65,2019-06-02,False,Yeni Yasamal
61,JAN MIKROFIBRI 60C BEZ 3EDED TEMIZLIK U,"Yuvish vositalari, tozalagichlar",1.59,2019-06-02,False,Yeni Yasamal
62,SARDELKA SAB SERQ KG,Kolbasa va sosiskalar,9.9,2019-06-02,False,Yeni Yasamal
63,CER.KISMIS MOVUZ KG,Quruq mevalar,9.6,2019-06-02,False,Yeni Yasamal
64,FIRIN.KETE NAXCIVAN EDED,Shirinliklar,1.0,2019-06-02,False,Yeni Yasamal
82,GODINY 305GR SOKOLAD QUTU ASSORTI CEREZ,Shirinliklar,6.8,2019-02-06,True,Yeni Yasamal
83,COREK COREKCI 450GR KOMBE COVDARLI,Non,0.5,2019-02-06,True,Yeni Yasamal
84,QARASIRE 0.75ML SERAB KEMSIRIN,Vinolar,3.85,2019-02-06,True,Yeni Yasamal
85,CER.QAVIRGA ORDUBAD KG,Quruq mevalar,19.2,2019-02-06,True,Yeni Yasamal
86,GONDOL KARTOF EZEN,Maishiy buyumlar,1.65,2019-02-06,True,Yeni Yasamal
147,KONFET KONTI SUFLE LYUKS KARAMELLI KG,Shirinliklar,9.45,2019-08-11,False,Yeni Yasamal
148,SUPER SUN 275GR TOMAT PASTASI S/Q,Konservalangan sabzavotlar,1.8,2019-08-11,False,Yeni Yasamal
149,DARLETTO 370GR PECENYE ZEMLYANIKA,Shirinliklar,2.45,2019-08-11,False,Yeni Yasamal
150,SOLIDARNOST 228GR GOLDEN CREATIONS SOK.QUTU,Shirinliklar,8.55,2019-08-11,False,Yeni Yasamal
212,SMILE LIGHT 1000W A55 LAMPA,Maishiy buyumlar,0.72,2019-02-20,True,Yeni Yasamal
213,KONFIROM 400GR DARENKA HEDIYYELIK PAKET,Shirinliklar,3.4,2019-02-20,True,Yeni Yasamal
214,MOSKOVSKOE SACROVISHE VODKA 1LT,"Viski, tekila va h.k",42.0,2019-02-20,True,Yeni Yasamal
215,MICROFIBRE NO:A0102 ESKI MASHIN,"Yuvish vositalari, tozalagichlar",2.39,2019-02-20,True,Yeni Yasamal
298,BOSTAN 1LT SAFTALI KOMPOTU,Kompotlar,1.33,2019-06-22,True,Yeni Yasamal
299,MVT.TUT QARA KG,Mevalar,4.9,2019-06-22,True,Yeni Yasamal
300,"ULUDAG 1,5LT ERIKLI DOGAL KAYNAK SUYU PL/Q",Suvlar,2.3,2019-06-22,True,Yeni Yasamal
301,OSMANBEYLI 15GR QARA ISTIOT POSET,Ziravorlar,0.55,2019-06-22,True,Yeni Yasamal
302,BETA TEA EARL GREY 500GR BERGAMUT,Choy,9.95,2019-06-22,True,Yeni Yasamal
303,KONTI 33GR TIMI PIROJNOE MALINA-SLIVKI,Shirinliklar,0.3,2019-06-22,True,Yeni Yasamal
744,OSRAM SUPERSTAR LAMPA 64544A ECO 57W E27,Maishiy buyumlar,2.92,2019-09-17,False,Yeni Yasamal
745,ACTIVE 450ML QABYUYAN MAYE CIYELEK ETIRLI,Idish yuvish vositalari,0.76,2019-09-17,False,Yeni Yasamal
746,METRE 3M,Maishiy buyumlar,1.3,2019-09-17,False,Yeni Yasamal
747,MARTELLI 0.7LT VISKI,"Viski, tekila va h.k",11.1,2019-07-09,False,Yeni Yasamal
748,RUSSKIY STANDART 0.5LT ORIGINAL ARAQ,Aroq,20.5,2019-07-09,False,Yeni Yasamal
749,ATENA 1KG BEYAZ PENDIR PL/Q,Pishloqlar,8.15,2019-07-09,False,Yeni Yasamal
750,BIZIM ASCI 40GR KIMYON,Ziravorlar,0.55,2019-07-09,False,Yeni Yasamal
761,VITA 1LT ANANAS SIRESI,Mevali sharbatlar,2.5,2019-10-09,False,Yeni Yasamal
762,TESS 25X1.8GR QARA CAY THYME QUTU,Choy,1.87,2019-10-09,False,Yeni Yasamal
763,KRAS.OKT.200GR KOROVKA TORT VAFLI ASSORTI,Shirinliklar,2.3,2019-10-09,False,Yeni Yasamal
764,CER.INNAB YERLI KG,Quruq mevalar,4.6,2019-10-09,False,Yeni Yasamal
765,MIRINDA 2LT ALMA,Gazli ichimliklar,1.45,2019-10-09,False,Yeni Yasamal
766,BAKER HOUSE 350GR TORT TIRAMISU QUTU,Shirinliklar,3.85,2019-10-09,False,Yeni Yasamal
767,TRUFEL ELIT QRECKIY OREX KG,Shirinliklar,8.0,2019-10-09,False,Yeni Yasamal
1015,HEYAT 0.5LT KONYAK 40% 3-ILLIK,Konyak,14.4,2019-04-10,False,Yeni Yasamal
1016,TYORKA MINI,Maishiy buyumlar,1.79,2019-04-10,False,Yeni Yasamal
1068,VITA 1000 200ML PORTAGAL MEYVE SIRESI,Mevali sharbatlar,0.38,2019-08-14,False,Yeni Yasamal
1069,CARSKAYA 750ML LADOGA  ARAQ PREMIUM S/Q,Vinolar,23.75,2019-08-14,False,Yeni Yasamal
