,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
0,GONDOL SIMPLE LABABO VE BUZLUK HALISI G61*50,Maishiy buyumlar,3.68,2019-07-19,True,Zabrat
1,TAXTA BICAQ 3232,Idish-tovoq,2.25,2019-07-19,True,Zabrat
2,VITA 1LT ANANAS SIRESI,Mevali sharbatlar,2.5,2019-07-19,True,Zabrat
3,GILAN BAGDAN 1LT SARI GAVALI KOMPOTU,Kompotlar,1.45,2019-07-19,True,Zabrat
4,OSRAM SUPERSTAR LAMPA 64544A ECO 57W E27,Maishiy buyumlar,2.92,2019-07-19,True,Zabrat
5,BEKO 2111P  DEM SAMOVARI,Maishiy buyumlar,94.0,2019-07-19,True,Zabrat
6,BOSTAN 3KG QARISIQ TURSU PL/Q,Tuzlamalar,6.85,2019-07-19,True,Zabrat
7,ULKER CAFE CROWN 17GR KOFE LATTE KARAMELLI,"Kofe, kakao va h.k",0.4,2019-07-19,True,Zabrat
98,ETRI-SAH 50GR SARI KOK POSET,Ziravorlar,0.75,2019-06-28,False,Zabrat
99,AGE 1LT LEKECIXARICI LIMON TERAVETI,"Yuvish vositalari, tozalagichlar",1.1,2019-06-28,False,Zabrat
100,JAN 10+5-LI 35LT 50*60SM ZIBIL TORBASI,Maishiy buyumlar,3.32,2019-06-28,False,Zabrat
168,BETA TEA 100GR QARA CAY EDVIYATLI MEYVE-BITKI QUTU,Choy,1.8,2019-07-26,False,Zabrat
169,ILGIM 80GR KAKAO,Ziravorlar,1.7,2019-07-26,False,Zabrat
170,PAMUK 250GR LOKUM QIZILGUL-FINDIQ QUTU,Shirinliklar,2.5,2019-07-26,False,Zabrat
171,PANASONIC 8W LAMPA COOL DAYLIGHT EFDHV8D65E14R,Maishiy buyumlar,2.5,2019-07-26,False,Zabrat
172,BEEFEATER 1LT LONDON DRY GIN,"Viski, tekila va h.k",45.15,2019-07-26,False,Zabrat
173,DIROL X-FRESH 16GR SAQQIZ ARBUZNIY LED,Saqichlar,0.75,2019-07-26,False,Zabrat
174,KOLBASA S.D OXOT Y/H/V KG,Kolbasa va sosiskalar,11.65,2019-07-26,False,Zabrat
175,LAFARELLA 500GR SPAGETTI QALIN,Un mahsulotlari,1.0,2019-07-26,False,Zabrat
200,SOKOLAD BELORE COCO LIFE KG,Shirinliklar,6.25,2019-08-20,False,Zabrat
201,TOYBOX 27GR SOKOLADLI DRAJE,Shirinliklar,0.67,2019-08-20,False,Zabrat
202,CAMELION AA 4LU BATAREYA,Batareya,1.8,2019-08-20,False,Zabrat
203,DIDI 330ML MANGO SOYUQ CAY D/Q,Yaxna choylar,1.1,2019-08-20,False,Zabrat
204,ETRI-SAH 50GR SARI KOK POSET,Ziravorlar,0.75,2019-08-20,False,Zabrat
205,EL EMEYI NAXCIVAN LAVASI,Non,0.65,2019-08-20,False,Zabrat
206,SOKOLAD KONFSN VZDOX KLYUKVENIY KG,Shirinliklar,7.45,2019-08-20,False,Zabrat
455,BINGO 450GR YUYUCU TOZ AUTOMAT STARRY NIGHT COLOR,Kiyim-kechak uchun,1.87,2019-08-23,False,Zabrat
456,EHRMANN 420GR ALPENLAND ICM.YOQURT 1.2% ALBALI,Yogurt,1.65,2019-08-23,False,Zabrat
457,OLITALIA 500ML UZUM YAGI GRAPESEED OIL,Yog'lar,8.15,2019-08-23,False,Zabrat
458,HAGRIS 200GR SOUS CILI OSOBO OSTRIY PL/Q,Souslar,1.0,2019-08-23,False,Zabrat
459,LAYS 140GR CIPS TOMAT PRYANOST,Quritilgan mevalar to'plami,2.2,2019-08-23,False,Zabrat
460,7 DAYS 65GR KRUASSAN CIYELEKLI,Shirinliklar,0.92,2019-08-23,False,Zabrat
461,DAMLA 348ML SU,Suvlar,0.28,2019-08-23,False,Zabrat
462,TOYBOX 80GR AYICIK,Shirinliklar,1.0,2019-08-23,False,Zabrat
628,TESS 25X1.8GR YASIL CAY STYLE QUTU,Choy,1.87,2019-04-02,True,Zabrat
629,CHOCONUT 250GR HAZELNUT CREAM FINDIGL SOKOLAD YAGI,Shirinliklar,1.9,2019-04-02,True,Zabrat
630,SAIRME 500ML SU TEBII QAZLI S/Q,Suvlar,1.2,2019-04-02,True,Zabrat
631,PAMUK 100GR LOKUM LIMONLU QUTU,Shirinliklar,0.95,2019-04-02,True,Zabrat
632,PFANNER 2LT MULTIVITAMIN MEYVE SIRESI,Mevali sharbatlar,8.85,2019-04-02,True,Zabrat
885,FOOD FO 250GR FODEKOR SEKER HAMURU AG,Maishiy buyumlar,2.85,2019-01-09,False,Zabrat
886,KOLBASA KRAL KURINAYA BISMIS KG,Kolbasa va sosiskalar,9.3,2019-01-09,False,Zabrat
887,ARXANQELSK 1LT PLATINUM  ARAQ,Aroq,8.9,2019-01-09,False,Zabrat
888,KOLBASA H.N.BANU CICEK DETSKAYA BISMIS KG,Kolbasa va sosiskalar,10.4,2019-01-09,False,Zabrat
889,ANKARA 500GR MAKARON YILDIZ SEHRIYYE,Donli mahsulotlar,1.15,2019-01-09,False,Zabrat
890,VILO 300ML DERI TEKSTIL UCUN KOPUK,Poyafzal aksessuarlari,5.59,2019-01-09,False,Zabrat
984,AYAQALTI REZIN DESIKLII YAPISQAN,Maishiy buyumlar,8.09,2019-01-15,True,Zabrat
985,BISPOL SAM YUMURU QIRMIZI  SK80-030,Maishiy buyumlar,4.02,2019-01-15,True,Zabrat
986,KOLOMENSKOYE 230GR TORT SEMEYNIY OREXOVIY VAFELNIY,Shirinliklar,2.0,2019-01-15,True,Zabrat
987,HALK 700GR PECENYE FINGER,Shirinliklar,3.5,2019-01-15,True,Zabrat
988,TAYQA 1KG QIRMIZI IC MERCIMEK,Donli mahsulotlar,3.98,2019-01-15,True,Zabrat
989,SOKOLAD DULCIAR COCCOLO/CIOTTOLO KG,Shirinliklar,9.0,2019-01-15,True,Zabrat
1091,VITA 0.25LT PREMIUM MANQO SIRESI,Mevali sharbatlar,1.45,2019-09-13,True,Zabrat
1092,KOROGLU 450GR YENI IL HEDIYYESI N-7645,Shirinliklar,4.85,2019-09-13,True,Zabrat
1093,SAVALAN 750ML SERAB AG QURU 2014 VERDEJO S/Q,Vinolar,10.49,2019-09-13,True,Zabrat
1094,MARMELAD ROSHEN SOLNECNIY JUK KG,Shirinliklar,5.5,2019-09-13,True,Zabrat
1095,PAMUK 100GR LOKUM BANANLI QUTU,Shirinliklar,0.95,2019-09-13,True,Zabrat
1096,QLUX TEREVEZ SOYAN L232,Plastik idishlar,1.35,2019-09-13,True,Zabrat
1097,AZER SUD 1LT S.MILKY KOKTEYL CIYELEKLI 2% T/P,Kokteyllar,2.31,2019-09-13,True,Zabrat
1185,TENEK 2LT UZUM SIRKESI PL/Q,Souslar,1.7,2019-03-25,True,Zabrat
1186,"BADAGONI 0,75LT KINDZMARAULI KEMSIRIN SERAB 2009",Vinolar,21.4,2019-03-25,True,Zabrat
1187,KITCHEN QASIQ SE-289,Idish-tovoq,6.6,2019-03-25,True,Zabrat
1188,AYAQALTI REZIN DESIKLII YAPISQAN,Maishiy buyumlar,8.09,2019-03-25,True,Zabrat
1189,KARIZ 750ML MEYVE SIRESI 5 FRUIT SMOOTHIE S/Q,Mevali sharbatlar,3.5,2019-03-25,True,Zabrat
1190,BOLDAD 340GR PECENYE YULAFLI FITNESS,Shirinliklar,1.9,2019-03-25,True,Zabrat
