,mahsulot_nomi,mahsulot_turi,mahsulot_narhi,sotilgan_vaqti,bonus_karta,market_nomi
183,TACH TRUBUCKA 50-LI KORUKLU,Idish-tovoq,0.8,2019-10-30,False,Əhmədli
184,BABAYEVSKIY 100GR SOKOLAD FIRMENNIY PLITKA,Shirinliklar,2.35,2019-10-30,False,Əhmədli
185,FINAL 910GR ANA BALA ERIDILMIS BITKI YAGI D/Q,Yog'lar,4.25,2019-10-30,False,Əhmədli
186,CUPIDO 200GR ROYAL MINTS PORTAGAL QUTU,Shirinliklar,6.85,2019-10-30,False,Əhmədli
187,TEK SAP,Idish-tovoq,0.6,2019-10-30,False,Əhmədli
188,SEDRAYA ZEMLYA 700GR NOXUD PAKET,Donli mahsulotlar,2.75,2019-10-30,False,Əhmədli
189,PECENYE SOYUZ KOND.ELITNOE OVSYANOE SOKOLADLI KG,Shirinliklar,6.4,2019-10-30,False,Əhmədli
190,XAMA 25% RB KG,Smetana,4.05,2019-10-30,False,Əhmədli
191,BERRAK 720ML XIYAR TURSUSU NO:1,Tuzlamalar,3.05,2019-09-06,False,Əhmədli
192,BERQA 225GR BERQAMOT ETIRLI CAY D/Q,Choy,6.9,2019-09-06,False,Əhmədli
193,"RUSSKIY PREMIUM 0,25LT PREMIUM ARAQ",Aroq,2.6,2019-09-06,False,Əhmədli
194,KAQOR 750ML EREBLI QIRMIZI DESERT SERABI S/Q,Vinolar,4.44,2019-09-06,False,Əhmədli
195,KAVEH SU BARDAGI 6-LI,Maishiy buyumlar,7.95,2019-09-06,False,Əhmədli
196,BOLLUQ 5KG QEND,Shirinliklar,7.35,2019-09-06,False,Əhmədli
260,BIZIM SUFRE 285GR TKEMALI QIRMIZI ALCA SOUSU,Souslar,2.15,2019-08-22,True,Əhmədli
261,VAFLI BISMAK KAKAO KREM/SADE KREM KG,Shirinliklar,3.35,2019-08-22,True,Əhmədli
262,PAMUK 250GR LOKUM PORTAGAL-FINDIQ QUTU,Shirinliklar,2.5,2019-08-22,True,Əhmədli
263,CUDO 125GR PUDINQ SOKOLADLI 3.1%,Yogurt,0.63,2019-08-22,True,Əhmədli
264,SIGARET MAGNA KS RED,Tamaki mahsulotlari,1.4,2019-08-22,True,Əhmədli
265,SARIKIZ 200ML MINERAL SU CIYELEK S/Q,Mevali sharbatlar,0.85,2019-08-22,True,Əhmədli
266,ISLAMOGLU 400GR QOZ PECENYESI PL/Q,Shirinliklar,2.95,2019-08-22,True,Əhmədli
267,BIZIM TARLA 650ML NAR VE UZUM SIRESI,Mevali sharbatlar,2.5,2019-08-22,True,Əhmədli
283,ZOLOTOY SAD 1LT PR.MULTIVITAMIN MEYVE SIRESI T/P,Mevali sharbatlar,1.88,2019-04-26,True,Əhmədli
284,OSRAM LED STAR CLB40 WW FR E141608,Maishiy buyumlar,4.3,2019-04-26,True,Əhmədli
285,MILLA 300ML KEFIR 2.5% KLASSICESKIY PL/Q,Kefir,0.97,2019-04-26,True,Əhmədli
286,MPRO S.D. 500GR CANAX PENDIRI PL/Q,Pishloqlar,4.75,2019-04-26,True,Əhmədli
287,AQUA VITA 0.5LT GULUSTAN PORTAGAL,Mevali sharbatlar,0.43,2019-04-26,True,Əhmədli
288,MEBELUX 300ML POLIROL DLA LUBIX POVERXNO,"Yuvish vositalari, tozalagichlar",3.62,2019-04-26,True,Əhmədli
289,GLENFIDDICH 0.375LT VISKI 12IL OLD,"Viski, tekila va h.k",39.78,2019-04-26,True,Əhmədli
499,SMART 200ML AYAQQABI BOYASI SPREY QEHVEYI,Poyafzal aksessuarlari,6.79,2019-08-12,False,Əhmədli
500,STIEGL 0.33LT GOLDBRAU PIVE 5% S/Q,Pivo,4.45,2019-08-12,False,Əhmədli
639,DR.NATURI 90GR ZDOROV.MENYU XLEBCI MULTIZLAK N10,Diabet mahsulotlari,0.95,2019-07-04,False,Əhmədli
640,FINAL 4KG ANA-BALA ERIDILMIS BITKI YAGI PL/Q,Yog'lar,18.3,2019-07-04,False,Əhmədli
641,DANONE RASTISKA 90GR ICM.YOQURT CIYELEK,Yogurt,0.95,2019-07-04,False,Əhmədli
642,DR.OETKER 115GR PUDING FINDIK-CIKOLATA,Ziravorlar,1.1,2019-07-04,False,Əhmədli
643,FUSE TEA 1LT ICE TEA LIMON,Yaxna choylar,1.39,2019-07-04,False,Əhmədli
644,AZ-GRANATA 0.5LT XAQAN X.O. KONYAK QUTU,Konyak,41.07,2019-07-04,False,Əhmədli
645,KONFET ROT FRONT OSENNIY VALS KG,Shirinliklar,18.45,2019-07-04,False,Əhmədli
646,MIRATORQ 470GR KOLBASA DOKTORSKAYA QOST,Kolbasa va sosiskalar,9.35,2019-07-04,False,Əhmədli
647,KALFANY 150GR MANPASI MULTI-VITAMIN D/Q,Shirinliklar,3.2,2019-07-04,False,Əhmədli
735,VITA 0.25LT PREMIUM ALMA SIRESI,Mevali sharbatlar,1.45,2019-03-08,True,Əhmədli
736,GREENFIELD 100GR QARA CAY EARL GREY FANTASY QUTU,Choy,2.35,2019-03-08,True,Əhmədli
737,XRUS TEAM 130GR SUXARIKI BIFTEKS,Quritilgan mevalar to'plami,0.95,2019-03-08,True,Əhmədli
738,GAROFALO 500GR MAKARON FUSILLI,Donli mahsulotlar,4.3,2019-03-08,True,Əhmədli
739,AQUAPHOR 5 SU FILTRI ZAPASKA ZASITA OT BAKTERII,Idish-tovoq,8.6,2019-03-08,True,Əhmədli
740,SUPER FRESH 1000GR PATATES FRENCH FRIES POSET,Konservalar,5.7,2019-03-08,True,Əhmədli
802,RITTER SPORT 100GR VIP DARK WHOLE HAZELNUT PL/SOK.,Shirinliklar,3.8,2019-03-07,False,Əhmədli
803,MAGIC BASKET CEREZ QABI BAMBUK-XS,Idish-tovoq,13.75,2019-03-07,False,Əhmədli
861,AGUSA 100GR KESMIK ARMUD USAQ 3.9%,Tvorog,1.33,2019-06-06,False,Əhmədli
862,CINAR 750ML SERAB QIRMIZI KEMTURS,Vinolar,6.6,2019-06-06,False,Əhmədli
863,KENT BORINGER 15GR ACI PUL BIBER,Ziravorlar,0.5,2019-06-06,False,Əhmədli
864,PAP STAR PARTY FEELINGS SAM REQEM.19307,Bayram uchun aksessuarlar,1.59,2019-06-06,False,Əhmədli
865,DONDURMA LAZZMASTER 65GR KIDDA KORNET CIYELEKLI,Muzqaymoq,1.0,2019-06-06,False,Əhmədli
866,BUTAM 35.2*20 FITNES LIMON,Choy,2.95,2019-06-06,False,Əhmədli
867,UN 5KG BISMAK ELA NOV,Un mahsulotlari,5.15,2019-06-06,False,Əhmədli
868,FINAL 5KG KELLE QEND PAKET,Shirinliklar,9.4,2019-06-06,False,Əhmədli
992,HEREVIN DORDKUNC QIRMIZI SAKSI GUL QABI,Maishiy buyumlar,9.9,2019-09-22,True,Əhmədli
993,ABSERON SERAB 1LT CAPTAIN GRANT VISKI,"Viski, tekila va h.k",14.9,2019-09-22,True,Əhmədli
994,OZTAS KIDS UNDERWEAR COCUK A 3002-2,To'qimachilik,4.39,2019-09-22,True,Əhmədli
995,DISHDEME 800GR KELLE QEND PAKET,Shirinliklar,1.52,2019-09-22,True,Əhmədli
